Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Stage
SE,Internal,"DM, Manager(F), EE(HQ)",Sushant Singh Negi,26-Mar-2022 02:43 PM,28-Mar-2022 11:00 AM,techsummary_86743.pdf (557.13 KB),Technical,Tender summary,Sushant Singh Negi,26-Mar-2022 02:41 PM,technical_86743.pdf,1.0,269422.0,Gaurav Rana,14-Mar-2022 03:57 PM,Rejected-Finance,third lowest bidder,07-May-2022 02:44 PM,Finance,Financial summary,Sushant Singh Negi,04-Apr-2022 12:30 PM,finance_86743.pdf,BOQ Comparative Chart,SE,Internal,"DM, Manager(F), EE(HQ)",BHUP SINGH,07-May-2022 02:44 PM,finsummary_86743.pdf (29.69 KB),HP SIDC Limited,2022_SIDC_57473_1,Job No. 1,"Providing flood protection to purposed CETP Plot at Ind. Area Gondpur, Paonta Sahib, Distt. Sirmour (HP).",20-May-2022,"INR 4,927,213",120.0,BHUP SINGH,02-Aug-2022 04:37 PM,premsingh.pdf (1981.00 KB),Award letter,1.0,269646.0,PREM SINGH,INR,"4,927,213",AOC,07-Mar-2022 11:00 AM,15-Mar-2022 11:00 AM,07-Mar-2022 11:00 AM,14-Mar-2022 05:00 PM,NA ,NA ,07-Mar-2022 11:00 AM,14-Mar-2022 05:00 PM,28-Mar-2022 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),"5,900",Nil,Nil,No,HP SIDC Limited,Job No. 1,2022_SIDC_57473_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,06,000",No,fixed,,Nil,Nil,"Providing flood protection to purposed CETP Plot at Ind. Area Gondpur, Paonta Sahib, Distt. Sirmour (HP).","Providing flood protection to purposed CETP Plot at Ind. Area Gondpur, Paonta Sahib, Distt. Sirmour (HP).",Please refer Tender documents. ,NA ,"73,46,794",Civil Works,NA ,Tender,120.0,120.0,Gondpur Sirmour,173025.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,Executive Engineer,HPSIDC Shimla,1.0,ICICI BANK,AOC
,,,,,,,,,,,,2.0,269383.0,hement,12-Mar-2022 04:11 PM,Rejected-Finance,Second lowest bidder,07-May-2022 02:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,3.0,269677.0,jagdish,14-Mar-2022 08:53 AM,Rejected-Finance,Second lowest bidder,07-May-2022 02:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4.0,269646.0,PREM SINGH,13-Mar-2022 05:58 PM,Accepted-AOC,AOC,02-Aug-2022 04:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5.0,269688.0,RAM PARSHAD VERMA GOVT CONTRACTOR,14-Mar-2022 12:13 PM,Rejected-Technical,"Relaxation regarding experience/turnover, bidding capacity already availed",26-Mar-2022 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Detail of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Details of machineries equipments/ skilled engineers/ technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
