S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,scanned copy of cost of tender indicated as schedule F at serial no. 6.3,350.0,Nil,Nil,No,EE Shillai,Executive Engineer HPPWD Division Shillai,"10,400",No,fixed,,Nil,Nil,1.0,Date Corrigendum,Date,,PWD,TA2021-1004-1103dt 25-05-21,2021_PWD_48240_9,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,08-Jun-2021 05:00 PM,21-Jun-2021 12:30 PM,08-Jun-2021 05:00 PM,19-Jun-2021 05:00 PM,NA ,NA ,08-Jun-2021 05:00 PM,19-Jun-2021 05:00 PM,28-Jun-2021 06:20 PM,Improvement of black spot on Kaffota Koti,Improvement of black spot on Kaffota Koti road km. 0/0 to 29/7500 (SH-C/o R/wall with crash barrier at RD 1/380 to 1/520),please refer to tender document ,NA ,,Civil Works - Roads,NA ,Rate Contract,120.0,90.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,AOC,EE Shillai,Internal,"AE Shillai, HDM, Supdt",Pramod Upreti,28-Jun-2021 06:13 PM,28-Jun-2021 06:20 PM,techsummary_72330.pdf (842.95 KB),PWD,2021_PWD_48240_9,TA2021-1004-1103dt 25-05-21,Improvement of black spot on Kaffota Koti,29-Aug-2022,"INR 501,011",90.0,Pramod Upreti,29-Aug-2022 01:19 PM,kaffotakoti.pdf (667.00 KB),APC,EE Shillai,Internal,"AE Shillai, HDM, Supdt.",Pramod Upreti,06-Aug-2021 12:05 PM,finsummary_72330.pdf (133.64 KB),1.0,216534.0,THAKUR CONSTRUCTION,INR,"501,011",Finance,financial summary,Pramod Upreti,06-Aug-2021 12:02 PM,finance_72330.pdf,BOQ Comparative Chart,1.0,216802.0,Mahadev construction,14-Jun-2021 02:26 PM,Rejected-Finance,Not qualify,06-Aug-2021 12:05 PM,Technical,technical summary,Pramod Upreti,28-Jun-2021 05:36 PM,technical_72330.pdf,AOC
2.0,ICICI NEFT/RTGS,,,.pdf,scanned copy of earnest money indicated as schedule F at serial no. 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,216646.0,Sanjeev Sharma,14-Jun-2021 03:14 PM,Rejected-Finance,Not qualify,06-Aug-2021 12:05 PM,,,,,,AOC
,,,,.pdf,scanned copy of registration of refer general rule at serial no. 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,216534.0,THAKUR CONSTRUCTION,19-Jun-2021 03:15 PM,Accepted-AOC,AOC,29-Aug-2022 01:20 PM,,,,,,AOC
,,,,.pdf,scanned copy of GST and PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,scanned copy of Form No. 8 duly signed general rule 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,scanned copy of undertaking and uploaded document true and correct certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,scanned copy any other information bidder like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,scanned copy of work in hand at sr. no. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,list of machinery tools and plants and technical staff( refer schedule F with clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
