S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,289579.0,ABHIMANYU CHOUDHARY,01-Jul-2022 06:47 PM,Rejected-Finance,Reject,04-Jul-2022 05:37 PM,ER Ashish Rana EE,Internal,Ta Supdt HDM DAO EE,Ashish Rana,04-Jul-2022 04:14 PM,04-Jul-2022 04:15 PM,techsummary_93746.pdf (318.59 KB),Technical,Technical Bid Openings Summary,Ashish Rana,04-Jul-2022 04:12 PM,technical_93746.pdf,Finance,Financial Summary,Ashish Rana,04-Jul-2022 05:19 PM,finance_93746.pdf,BOQ Comparative Chart,06-Aug-2022,"INR 1,087,700",730.0,Ashish Rana,06-Aug-2022 11:39 AM,AOC.pdf (597.00 KB),Award to Contractor,1.0,289275.0,Jyoti Trading Company,INR,"949,000","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2022_HPIPH_62165_3,NHN-SMROO-722- 6624-6704 dt 25-06-2022,Water quality surveillance and monitoring in Tehsil Nahan Distt. Sirmour HP,ER Ashish Rana EE,Internal,DM HDM EE,Ashish Rana,04-Jul-2022 05:37 PM,finsummary_93746.pdf (346.23 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,25-Jun-2022 05:00 PM,02-Jul-2022 11:30 AM,25-Jun-2022 05:00 PM,02-Jul-2022 11:00 AM,NA ,NA ,25-Jun-2022 05:00 PM,02-Jul-2022 11:00 AM,04-Jul-2022 04:15 PM,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 6624-6704 dt 25-06-2022,2022_HPIPH_62165_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,Water quality surveillance and monitoring in Tehsil Nahan Distt. Sirmour HP,"Providing services of Physical, Chemical and bacteriological testing in accordance with NABL guidelines in district water testing Lab at Nahan",Please refer Tender documents. ,NA ,,Ceramics,NA ,Tender,120.0,730.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,ICICI BANK,"21,760",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,AOC
2.0,289275.0,Jyoti Trading Company,29-Jun-2022 07:52 PM,Accepted-AOC,AOC,06-Aug-2022 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
3.0,289584.0,KAMLENDER SINGH,01-Jul-2022 07:04 PM,Rejected-Finance,Reject,04-Jul-2022 05:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Registration in HPJSV in valid class as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,289451.0,MONTY ENTERPRISES,30-Jun-2022 06:04 PM,Rejected-Finance,Reject,04-Jul-2022 05:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,289597.0,tanushree trader,01-Jul-2022 10:52 PM,Rejected-Finance,Reject,04-Jul-2022 05:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,PAN and GST as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6.0,289598.0,vineet kshetri,01-Jul-2022 10:46 PM,Rejected-Finance,Reject,04-Jul-2022 05:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking JOint venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
