Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,06-Oct-2021 11:47 AM,technical_78658.pdf,1.0,238898.0,H. C. Bansal Engg. & Contt.,01-Oct-2021 09:27 AM,Accepted-AOC,L1,25-Aug-2022 12:58 PM,1.0,238898.0,H. C. Bansal Engg. & Contt.,INR,"8,227,191",Finance,FINANCIAL SUMMARY,Vijay Kumar Aggarwal,06-Oct-2021 01:20 PM,finance_78658.pdf,BOQ Comparative Chart,Vijay Kumar Aggarwal,Internal,Suptd. DAO HDM,Vijay Kumar Aggarwal,06-Oct-2021 01:24 PM,finsummary_78658.pdf (241.16 KB),20-Dec-2021,"INR 9,192,657",60.0,Vijay Kumar Aggarwal,25-Aug-2022 12:57 PM,AOC_52611_1_CORRECT.PDF (68.00 KB),Correct AOC,PWD,2021_PWD_52611_1,NAHAN 4273-90,"Periodical Maintenance of Dadahu Bechar Ka Bag Road 18/0 to 20/0, Banog Kheri Road Km 26/0 to 27/0, 34/0 to 36/0 and Katasan to Uttamwala Baraban Road Km 0/0 to 2/0 under Performance Based Financial Incentive 2019-2020 under PMGSY rural roads",Vijay Kumar Aggarwal,Internal,Suptd. DAO HDM,Vijay Kumar Aggarwal,06-Oct-2021 11:54 AM,06-Oct-2021 12:00 PM,techsummary_78658.pdf (575.72 KB),AOC,1.0,ICICI BANK,"1,24,500",No,fixed,,Nil,Nil,1.0,AOC CORRIGENDUM,AOC,,Executive Engineer,Executive Engineer HPPWD Division Nahan,"2,000",Nil,Nil,No,PWD,NAHAN 4273-90,2021_PWD_52611_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of Cost of Tender and Earnest Money Payment,23-Sep-2021 05:00 PM,01-Oct-2021 11:00 AM,23-Sep-2021 05:00 PM,01-Oct-2021 10:00 AM,NA ,NA ,23-Sep-2021 05:00 PM,01-Oct-2021 10:00 AM,06-Oct-2021 12:00 PM,"Periodical Maintenance of Dadahu Bechar Ka Bag Road 18/0 to 20/0, Banog Kheri Road Km 26/0 to 27/0, 34/0 to 36/0 and Katasan to Uttamwala Baraban Road Km 0/0 to 2/0 under Performance Based Financial Incentive 2019-2020 under PMGSY rural roads",P/L 30 mm thick Bituminous Concrete and C/o essential PCC Road Side Drain,As per Bidding Documents ,NA ,"91,92,657",Civil Works - Roads,NA ,Tender,75.0,60.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD Division Nahan,No ,No,AOC
,,,,,2.0,238900.0,Mumtaj Ali Civil Contractor,01-Oct-2021 08:38 AM,Rejected-Technical,does not meet minimum qualification criteria,06-Oct-2021 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,238143.0,Pratap Singh,28-Sep-2021 08:53 PM,Rejected-Finance,L3,06-Oct-2021 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,238021.0,Rashid Ali Civil Contractor,30-Sep-2021 09:01 AM,Rejected-Finance,L2,06-Oct-2021 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificates and Work-in-Hand Certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid HPPWD-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax Clearance Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Turnover Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding Correctness of Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity in .xls Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
