Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,EE Hamirpur,Executive Engineer HPPWD Hamirpur,Restoration of rain damages on Mattan Sidh Hamirpur Pacca Bharo road km 0/0 to 5/400,SH Construction of Footpath RD 4/260 to 4/360 extension of RCC Slab Culvert and Laying of 600mm dia Hume Pipe under footpath RD 4/260 to 4/360,Please refer Tender documents. ,NA ,"8,76,883",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"17,600",Yes,fixed,,Nil,Nil,PWD,R/R of Mattan Sidh Hamirpur Pacca Bharo road,2022_PWD_58943_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,01-Apr-2022 06:00 PM,08-Apr-2022 11:30 AM,01-Apr-2022 06:00 PM,08-Apr-2022 10:30 AM,NA ,NA ,01-Apr-2022 06:00 PM,08-Apr-2022 10:30 AM,13-Apr-2022 11:00 AM,1.0,ICICI BANK,AOC,PWD,2022_PWD_58943_1,R/R of Mattan Sidh Hamirpur Pacca Bharo road,Restoration of rain damages on Mattan Sidh Hamirpur Pacca Bharo road km 0/0 to 5/400,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,12-Apr-2022 03:09 PM,13-Apr-2022 11:00 AM,techsummary_89155.pdf (1056.86 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,09-Aug-2022 08:18 PM,finsummary_89155.pdf (731.91 KB),09-Aug-2022,"INR 9,887,025",30.0,Sanjay Katoch,09-Aug-2022 08:19 PM,AwardMattanFFFF.pdf (1513.00 KB),Awarda,Finance,attached,Sanjay Katoch,09-Aug-2022 08:16 PM,finance_89155.pdf,BOQ Comparative Chart,1.0,276299.0,SATISH KUMAR SHARMA,INR,"1,099,158",1.0,276325.0,AASHISH KUMAR,07-Apr-2022 11:01 PM,Rejected-Finance,l2,09-Aug-2022 08:18 PM,Technical,Attached,Vivek Sharma,12-Apr-2022 03:06 PM,technical_89155.pdf,AOC
,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,276299.0,SATISH KUMAR SHARMA,07-Apr-2022 09:38 PM,Accepted-AOC,l1,09-Aug-2022 08:20 PM,,,,,,AOC
,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
