Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
350.0,Nil,Nil,Yes,25-Sep-2021 03:15 PM,05-Oct-2021 11:30 AM,25-Sep-2021 03:15 PM,05-Oct-2021 10:30 AM,NA ,NA ,25-Sep-2021 03:15 PM,05-Oct-2021 10:30 AM,20-Nov-2021 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form.,PWD,Construction of link road from Khural Kot Masanda,2021_PWD_52639_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Executive Engineer, Bhoranj Division, HP.PWD., Bho","Executive Engineer Bhoranj Division, HP.PWD., Bhoranj",1.0,ICICI BANK,Construction of link road from Khural Kot Masanda road via Kharigan in GP Paplah Tehsil Bhoranj Distt. Hamirpur SH P.L Cement concrete pavement at RD 0.0 to 0.135 Under SCSP.,Construction of link road from Khural Kot Masanda road via Kharigan in GP Paplah Tehsil Bhoranj Distt. Hamirpur SH P.L Cement concrete pavement at RD 0.0 to 0.135 Under SCSP.,Please refer Tender documents. ,NA ,"6,45,621",Civil Works - Roads,NA ,Tender,75.0,60.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,"13,000",Yes,fixed,,Nil,Nil,AOC,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt.Gr.-II, HDM, DAO, A.E.Bhoranj Sub Division",Virender Singh Guleria,16-Nov-2021 04:22 PM,20-Nov-2021 11:30 AM,techsummary_78697.pdf (975.57 KB),PWD,2021_PWD_52639_1,Construction of link road from Khural Kot Masanda,Construction of link road from Khural Kot Masanda road via Kharigan in GP Paplah Tehsil Bhoranj Distt. Hamirpur SH P.L Cement concrete pavement at RD 0.0 to 0.135 Under SCSP.,04-Dec-2021,"INR 512,942",60.0,Arvind Lakhanpal,03-Aug-2022 01:01 PM,Aman.PDF (1652.00 KB),Award letter attached,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt.Gr.-II, HDM, DAO, A.E.Bhoranj Sub Division",Virender Singh Guleria,20-Nov-2021 05:46 PM,finsummary_78697.pdf (838.13 KB),1.0,239245.0,PRATEEK THAKUR GOVT CONTRACTOR,INR,"547,504",Finance,Summary Attached,Virender Singh Guleria,20-Nov-2021 05:42 PM,finance_78697.pdf,BOQ Comparative Chart,1.0,239270.0,AMAN THAKUR GOVT CONTRACTOR,04-Oct-2021 01:41 PM,Accepted-AOC,Award letter,03-Aug-2022 01:01 PM,Technical,Summary attached,Virender Singh Guleria,16-Nov-2021 04:15 PM,technical_78697.pdf,AOC
,,,,,,,,,,,,,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,239270.0,AMAN THAKUR GOVT CONTRACTOR,INR,"512,492",,,,,,,2.0,239245.0,PRATEEK THAKUR GOVT CONTRACTOR,05-Oct-2021 10:18 AM,Accepted-AOC,Award letter,03-Aug-2022 01:01 PM,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,GST Registration - REFER HPPWD-6 16(3).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Schedule F (Clause18 of GCC )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
