Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
08-Aug-2022,"INR 3,409,795",90.0,Ashish Rana,08-Aug-2022 01:19 PM,AOC.pdf (671.00 KB),Award to Contractor,Finance,Financial Bid Opening Summary,Ashish Rana,19-Feb-2022 03:38 PM,finance_84653.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Ashish Rana,19-Feb-2022 01:30 PM,technical_84653.pdf,Er Ashish Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,19-Feb-2022 01:32 PM,19-Feb-2022 01:45 PM,techsummary_84653.pdf (317.29 KB),1.0,261844.0,Dharmender Chandel,08-Feb-2022 10:55 AM,Accepted-AOC,AOC,08-Aug-2022 01:20 PM,1.0,261844.0,Dharmender Chandel,INR,"3,592,487","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2022_HPIPH_56306_1,NHN-SMROO-722- 15238-318 dt 31/01/2022,Augmentation of LWSS Dadahu GP Dadahu in Tehsil Dadahu Distt. Sirmour HP,SE Nahan,Internal,SupdtWS CHD AED EED EEN SE,Ashish Rana,08-Aug-2022 01:18 PM,finsummary_84653.pdf (344.43 KB),AOC,Augmentation of LWSS Dadahu GP Dadahu in Tehsil Dadahu Distt. Sirmour HP,"Providing, Laying, Jointing and commissioning of R/main line MSERW pipe 100mm dia (H/M), Providing installation and commissioning of submersible pumping machinery with allied accessories, Providing installation and commissioning of centrifugal pumpin",Please refer Tender documents. ,NA ,"34,09,795",Pumps/Motors,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,"58,700",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,1.0,ICICI BANK,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,01-Feb-2022 05:00 PM,08-Feb-2022 11:30 AM,01-Feb-2022 05:00 PM,08-Feb-2022 11:00 AM,NA ,NA ,01-Feb-2022 05:00 PM,08-Feb-2022 11:00 AM,19-Feb-2022 01:45 PM,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 15238-318 dt 31/01/2022,2022_HPIPH_56306_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,261303.0,HYDRAULIC ENGINEERING COMPANY,05-Feb-2022 06:39 PM,Rejected-Finance,Reject,08-Aug-2022 01:18 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,261978.0,puneet angra,08-Feb-2022 10:40 AM,Rejected-Finance,Reject,08-Aug-2022 01:18 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,4.0,261882.0,SG Engineers and Consultants,07-Feb-2022 11:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Feb-2022 01:30 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,5.0,261560.0,shiv iron general engineers,08-Feb-2022 09:34 AM,Rejected-Finance,Reject,08-Aug-2022 01:18 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST copy as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,6.0,261732.0,Thakur Traders,07-Feb-2022 04:49 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Feb-2022 01:30 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and condition as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Dealership/subdealership of offered PM as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking curve chart as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
