Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
"Er. Ravi Bhatti, Executive Engineer",Internal,"Hukam Singh Thakur, Head D/man, Jia Lal Draughtsman",Ajay Gazta,16-Jul-2022 04:05 PM,finsummary_93727.pdf (388.43 KB),18-Aug-2022,"INR 2,134,398",60.0,Ravi Bhatti,26-Aug-2022 03:07 PM,Award.pdf (528.00 KB),Award letter,PWD,2022_PWD_62150_1,THD/CB-tender/2022-3720-31,Metalling and tarring on Dhar to Dhalwa Janahan road km. 0.00 to 1.600,Ravi Bhatti,Internal,"Hukam Singh Thakur, Head D/man, Kewal Ram, Supdt. Gr-II Leela Verma, Sr. Asstt.",Rajesh Kumar,14-Jul-2022 11:10 AM,14-Jul-2022 03:00 PM,techsummary_93727.pdf (419.98 KB),1.0,289485.0,Laiq Ram Chauhan and Sons,INR,"2,208,932",Finance,Summary,Ajay Gazta,16-Jul-2022 01:02 PM,finance_93727.pdf,BOQ Comparative Chart,Technical,Bid Opening summary,Ajay Gazta,11-Jul-2022 12:27 PM,technical_93727.pdf,1.0,289485.0,Laiq Ram Chauhan and Sons,02-Jul-2022 10:12 AM,Accepted-AOC,Being L1,26-Aug-2022 03:07 PM,AOC,Executive Engineer,"Theog Division, HPPWD., Theog","42,700",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,PWD,THD/CB-tender/2022-3720-31,2022_PWD_62150_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Metalling and tarring on Dhar to Dhalwa Janahan road km. 0.00 to 1.600,Tarring work in km. 0.00 to 1.600,as per GCC ,NA ,"21,34,398",Civil Works - Roads,NA ,Tender,75.0,60.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,1.0,ICICI BANK,27-Jun-2022 05:00 PM,04-Jul-2022 11:00 AM,27-Jun-2022 05:00 PM,02-Jul-2022 05:00 PM,NA ,NA ,27-Jun-2022 05:00 PM,02-Jul-2022 05:00 PM,14-Jul-2022 03:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,289593.0,Ramesh Chand Verma,01-Jul-2022 09:12 PM,Rejected-Technical,Technically non responsive,14-Jul-2022 11:10 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,289704.0,RAVINDER CHAUHAN,02-Jul-2022 04:56 PM,Rejected-Finance,Being higher rates,16-Jul-2022 04:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.Work in Hand Certificate countersigned by EE.,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,,,,,,,,AOC
