EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"23,900",Yes,fixed,,Nil,Nil,EE Dhami,Shimla Rural Division HPPWD Dhami,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender,PWD,PW-SRDD-CB-CTR-2020-21-1698 dated 18-05-2021.,2021_PWD_48248_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,08-Jun-2021 03:00 PM,15-Jun-2021 11:00 AM,08-Jun-2021 03:00 PM,14-Jun-2021 06:55 PM,NA ,NA ,08-Jun-2021 03:00 PM,14-Jun-2021 06:55 PM,22-Jul-2021 04:00 PM,1.0,ICICI BANK,500.0,Nil,Nil,Yes,M/T on Ambulance road from Primary School to Pawar (Under Shogi sub division),SH- Providing and laying Inter Locked Paver in 80mm thick km.0/00 to 0/405 (Under SCSP),as per tender document ,NA ,"11,90,605",Civil Works - Roads,NA ,Tender,75.0,60.0,Dhami,171103.0,NA ,NA ,NA ,Shimla Rural Division HPPWD Dhami,No ,No,PWD,2021_PWD_48248_3,PW-SRDD-CB-CTR-2020-21-1698 dated 18-05-2021.,M/T on Ambulance road from Primary School to Pawar (Under Shogi sub division),Er Maan Singh,Internal,"Sh Prem Raj Meen DAO, Sh Ram Sawaroop Supdt., Sh Suresh Kumar Verma HDM.",Naveen Singh Kaundal,22-Jul-2021 03:22 PM,22-Jul-2021 04:00 PM,techsummary_72306.pdf (444.35 KB),Er Maan Singh,Internal,"Sh Prem Raj Meena DAO, Sh Ram Sawaroop Supdt., Sh Suresh Kumar Verma HDM.",Naveen Singh Kaundal,03-Aug-2021 03:13 PM,finsummary_72306.pdf (542.06 KB),19-Jun-2023,"INR 1,190,605",60.0,Naveen Singh Kaundal,19-Jun-2023 01:30 PM,AOCPawarshoghiroad.pdf (1401.00 KB),AOC,1.0,216707.0,GOVIND GENERAL STORE AND CIVIL CONTRACTOR,INR,"1,211,203",Finance,Bid opening summary,Naveen Singh Kaundal,23-Jul-2021 02:31 PM,finance_72306.pdf,BOQ Comparative Chart,1.0,216707.0,GOVIND GENERAL STORE AND CIVIL CONTRACTOR,14-Jun-2021 06:13 PM,Accepted-AOC,Work complete 17.102022,19-Jun-2023,Technical,Bid opening summary,Naveen Singh Kaundal,02-Jul-2021 03:45 PM,technical_72306.pdf
,,,,,,,,,,.pdf,The Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,216789.0,JAI PRAKASH SHARMA,14-Jun-2021 05:17 PM,Rejected-Finance,L2 Bidder,03-Aug-2021,,,,,
,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,215722.0,JUGAL KISHORE,13-Jun-2021 07:06 PM,Rejected-Finance,L3 Bidder,03-Aug-2021,,,,,
,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,216868.0,KULDEEP KUMAR VERMA,14-Jun-2021 05:03 PM,Rejected-Finance,L5 Bidder,03-Aug-2021,,,,,
,,,,,,,,,,.pdf,Work In Hand detail/undertaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,216830.0,Rajender Thakur,14-Jun-2021 05:24 PM,Rejected-Finance,L6 Bidder,03-Aug-2021,,,,,
,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,216310.0,vivek sharma,12-Jun-2021 01:49 PM,Rejected-Finance,L4 Bidder,03-Aug-2021,,,,,
,,,,,,,,,,.pdf,Form No 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
