Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Name,Address,Cover No,Cover,Document Type,Description,S.No.2,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1.1,Bank Name
Technical,ALL CONTRACTOR ACCEPTED,Arun Vashisht,16-Mar-2023 01:42 PM,technical_104476.pdf,1.0,329912.0,M/s R.K Mahajan Govt Contractor,13-Mar-2023 12:32 PM,Not Admitted-Finance,Price Bid not complied,22-Jun-2023,1.0,328485.0,rajat thakur govt contractor,INR,"2,973,543",Finance,the work has been awarded to sh. rajat thakur,Baldev Singh,22-Jun-2023 05:02 PM,finance_104476.pdf,BOQ Comparative Chart,22-Jun-2023,"INR 2,973,543",60.0,Baldev Singh,22-Jun-2023 05:05 PM,9.pdf (664.00 KB),the work has been awarded to sh rajat thakur,EE,Internal,dao supdt ae to ee ta,Baldev Singh,22-Jun-2023 05:04 PM,finsummary_104476.pdf (664.29 KB),EE,Internal,DAO SUPDT AE TO EE,Arun Vashisht,16-Mar-2023 02:17 PM,17-Mar-2023 10:30 AM,techsummary_104476.pdf (126.04 KB),PWD,2023_PWD_69211_9,PWI/CB/C/Tender/10417-47,Periodic Renewal of Village Road Lodhwan to Janera via Mehkar Road AMP for year 2023-24,EXECUTIVE ENGINEER,HPPWD DIVISION INDORA,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form only on online mode through e-payment,1.0,amendment of the date,Date,,"81,000",No,fixed,,Nil,Nil,Periodic Renewal of Village Road Lodhwan to Janera via Mehkar Road AMP for year 2023-24,Providing and laying 30mm thick bituminous concrete in KM 0/0 to 1/0 1/0 to 2/0 and 2/0 to 3/0,Please refer Tender documents. ,NA ,"40,49,218",Civil Works,NA ,Tender,120.0,60.0,INDORA,176401.0,NA ,NA ,NA ,O/O EXECUTIVE ENGINEER,No ,No,PWD,PWI/CB/C/Tender/10417-47,2023_PWD_69211_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,20-Feb-2023 09:00 AM,14-Mar-2023 11:00 AM,20-Feb-2023 09:00 AM,13-Mar-2023 05:00 PM,NA ,NA ,20-Feb-2023 09:00 AM,13-Mar-2023 05:00 PM,17-Mar-2023 10:30 AM,1.0,ICICI BANK
,,,,,2.0,326742.0,Nishchal Mahajan,13-Mar-2023 01:55 PM,Not Admitted-Finance,Price Bid not complied,22-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,3.0,328485.0,rajat thakur govt contractor,03-Mar-2023 01:43 PM,Accepted-AOC,1st lowest,22-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical staff and machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.0,326906.0,V S SAINI,22-Feb-2023 04:10 PM,Not Admitted-Finance,Not qualified for AOC,22-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ownership of hot mix plant,paver finisher and vibrator Road roller documentary proof uploaded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,40 percent similar work done of the estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
