Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Finance,BOS,Jeet Singh Thakur,28-Jun-2022 05:55 PM,finance_92664.pdf,BOQ Comparative Chart,1.0,285990.0,Manesh Mehta,INR,"2,622,699",Technical,BOS,Jeet Singh Thakur,18-Jun-2022 06:36 PM,technical_92664.pdf,1.0,285990.0,Manesh Mehta,09-Jun-2022 11:38 AM,Accepted-AOC,Work completed,01-Jun-2023,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,16-Jul-2022 08:16 PM,finsummary_92664.pdf (127.65 KB),01-Jun-2023,"INR 2,643,030",60.0,Rajeev Kumar,01-Jun-2023 06:46 PM,5177.pdf (535.00 KB),Annual Repair and Maintenance of Chamba Khajjiar road Km. 0/0 to 19/0 (SH Providing balance patch work in Km. 8/0 to 15/0 )by manually,PWD,2022_PWD_61388_1,No.PWCWA-Contract/22- 3056-3155 dated 26/05/2022,Annual Repair and Maintenance of Chamba Khajjiar road Km. 0/0 to 19/0 (SH Providing balance patch work in Km. 8/0 to 15/0 )by manually,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,18-Jun-2022 06:38 PM,23-Jun-2022 11:30 AM,techsummary_92664.pdf (229.72 KB),PWD,No.PWCWA-Contract/22- 3056-3155 dated 26/05/2022,2022_PWD_61388_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,03-Jun-2022 05:00 PM,13-Jun-2022 11:30 AM,03-Jun-2022 05:00 PM,10-Jun-2022 05:00 PM,NA ,NA ,03-Jun-2022 05:00 PM,10-Jun-2022 05:00 PM,23-Jun-2022 11:30 AM,1.0,ICICI BANK,"1,500",Nil,Nil,No,"52,900",No,fixed,,Nil,Nil,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,Annual Repair and Maintenance of Chamba Khajjiar road Km. 0/0 to 19/0 (SH Providing balance patch work in Km. 8/0 to 15/0 )by manually,Annual Repair and Maintenance of Chamba Khajjiar road Km. 0/0 to 19/0 (SH Providing balance patch work in Km. 8/0 to 15/0 )by manually,Please refer Tender documents. ,NA ,"26,43,030",Civil Works - Roads,NA ,Tender,75.0,60.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No
,,,,,,,,,,,,,,,,2.0,286150.0,Rahul Thakur,10-Jun-2022 01:32 PM,Rejected-Finance,L2,16-Jul-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, and road Roller documentary proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
