S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.3,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
1.0,office order,office order revoked tenders,03-May-2023 04:16 PM,revokedbid.pdf ,1089.56,Technical Opening,1.0,341496.0,m/s kathuria constrution co.,INR,"39,068,639","HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",2023_HPIPH_71960_1,No. JSV-1/E -tender/ 23-423-52 dt 05-04-2023,"Construction of Jal Shakti Vibhag Rest House at Haroli in District Una, H.P. (SH Construction of civil work, Pdg and installation of sanitary fitting and electrical installation)",--,Internal,-----,Vinod Kumar Dhiman,08-Jun-2023 04:19 PM,finsummary_108299.pdf (604.31 KB),1,341662,abhishek dhiman,12-Apr-2023 01:41 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-May-2023,--,Internal,----,Vinod Kumar Dhiman,08-May-2023 03:38 PM,08-May-2023 03:40 PM,techsummary_108299.pdf (8054.39 KB),Technical,summary,Vinod Kumar Dhiman,08-May-2023 03:36 PM,technical_108299.pdf,Finance,summary attached,Vinod Kumar Dhiman,08-May-2023 04:25 PM,finance_108299.pdf,BOQ Comparative Chart,08-Jun-2023,"INR 39,068,639",540.0,Vinod Kumar Dhiman,08-Jun-2023 04:20 PM,kathuria.pdf (604.00 KB),AOC,1.0,pre bid meeting letter,Other,,1.0,Fee/PreQual/Technical,.pdf,Copy of Certificate of registration with HP Jal Shakti Vibhag or any other state/central as per NIT,"5,08,490",No,fixed,,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,05-Apr-2023 05:00 PM,13-Apr-2023 11:00 AM,05-Apr-2023 05:00 PM,12-Apr-2023 05:00 PM,05-Apr-2023 05:00 PM ,12-Apr-2023 05:00 PM ,05-Apr-2023 05:00 PM,12-Apr-2023 05:00 PM,08-May-2023 03:40 PM,"2,500",Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,Yes,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,1.0,ICICI BANK,"Construction of Jal Shakti Vibhag Rest House at Haroli in District Una, H.P. (SH Construction of civil work, Pdg and installation of sanitary fitting and electrical installation)","Construction of Jal Shakti Vibhag Rest House at Haroli in District Una, H.P. (SH Construction of civil work, Pdg and installation of sanitary fitting and electrical installation)",as per NIT  ,NA ,"4,75,98,820",Civil Works,NA ,Tender,120.0,540.0,Haroli,174301.0,Una HP  ,Superintending Engineer Jal Shakti Circle Una  ,11-Apr-2023 03:30 PM ,Una HP,No ,No,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",No. JSV-1/E -tender/ 23-423-52 dt 05-04-2023,2023_HPIPH_71960_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No
,,,,,,,,,,,,,,,,,,,,,,2,340919,B T Construction Company,12-Apr-2023 02:39 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (online/ offline mode),,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3,341637,gagan ohri,11-Apr-2023 05:30 PM,Rejected-Finance,Not Found L-1,08-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (online/ offline mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4,341406,ganesh,11-Apr-2023 01:28 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST number along with latest copy of GST return file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5,341802,MS Kamal Dev Sharma,12-Apr-2023 02:06 PM,Rejected-Finance,Not Found L-1,08-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF number and Income Tax registration number or their latest clearance certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6,341496,m/s kathuria constrution co.,11-Apr-2023 05:13 PM,Accepted-AOC,Found L-1,08-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per condition of NIT No.7 (viii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7,341309,Mukesh Ranjan Contractors Pvt Ltd,12-Apr-2023 01:15 PM,Rejected-Finance,Not Found L-1,08-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding he has executed work two or more work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8,341756,PANKAJ KUMAR,12-Apr-2023 03:02 PM,Rejected-Finance,Not Found L-1,08-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax registration number or their latest clearance certificates thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,9,341524,shiv kumar kapila,11-Apr-2023 07:03 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,10,341818,Subham Mahajan,12-Apr-2023 03:26 PM,Rejected-Finance,Not Found L-1,08-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
