Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
13-Jun-2023,"INR 1,582,063",90.0,Janam Singh,13-Jun-2023 12:08 PM,7.pdf (163.00 KB),AOC,Er.J.S. Rana,Internal,Supdt. JDM,Janam Singh,13-Jun-2023 12:06 PM,finsummary_109144.pdf (162.71 KB),Er.J.S. Rana,Internal,"Supdt. DAO, JDM",Janam Singh,12-May-2023 11:38 AM,12-May-2023 11:40 AM,techsummary_109144.pdf (162.71 KB),PWD,2023_PWD_72543_7,GA/E-27/Tender/22-23-7451 dt.24/4/23,Const. of Chowkidar room and Dormitory in HP PWD Rest House Suliali Tehsil Nurpur Distt. Kangra HP,Finance,Bid opening summary,Janam Singh,13-Jun-2023 11:47 AM,finance_109144.pdf,BOQ Comparative Chart,1.0,346122.0,Rajeshwar Singh,INR,"1,582,063",Technical,Bid opening summary,Janam Singh,12-May-2023 10:57 AM,technical_109144.pdf,1,345581,AJAY KUMAR,09-May-2023 07:38 AM,Rejected-Finance,Not to Being L1,13-Jun-2023,Executive Engineer,"Nurpur Division ,HP PWD, Nurpur",29-Apr-2023 10:00 AM,10-May-2023 11:00 AM,29-Apr-2023 10:00 AM,09-May-2023 04:00 PM,29-Apr-2023 10:00 AM ,09-May-2023 04:00 PM ,29-Apr-2023 10:00 AM,09-May-2023 04:00 PM,12-May-2023 11:40 AM,1.0,Fee/PreQual/Technical,.pdf,Treasury challan against EMD and Tender cost,1.0,ICICI BANK,Const. of Chowkidar room and Dormitory in HP PWD Rest House Suliali Tehsil Nurpur Distt. Kangra HP,Construction of main building portion i/c water supply sanitary installation,Please refer Tender documents. ,NA ,"21,64,343",Civil Works - Buildings,NA ,Tender,90.0,90.0,Nurpur,176202.0,NA ,NA ,NA ,Nurpur,No ,No,PWD,GA/E-27/Tender/22-23-7451 dt.24/4/23,2023_PWD_72543_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,"43,300",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,345954,ANIL KUMAR,09-May-2023 01:51 PM,Rejected-Finance,Not to being L1,13-Jun-2023,,,,,,,,,,,,,,.pdf,valid enlistment order of HP PWD Contractor in appropriate class,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,345710,ASHISH DOGRA,07-May-2023 05:13 PM,Rejected-Finance,Not to Being L1,13-Jun-2023,,,,,,,,,,,,,,.pdf,"The tender involved with bitumen works, bidder should be owner of hot mix plant, paver finisher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,346094,M/S SANJAY KUMAR GOVT CONTRACTOR,08-May-2023 10:39 PM,Rejected-Finance,Not to being L1,13-Jun-2023,,,,,,,,,,,,,,.pdf,The bidder for the work at Sl.No.5 of NIT should have executed similar type of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,346057,NARESH KATOCH,08-May-2023 09:06 PM,Rejected-Finance,Not to being L1,13-Jun-2023,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,346111,RAHUL KALIA,09-May-2023 07:35 AM,Rejected-Finance,Not to being L1,13-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,346166,RAJESH SHARMA,09-May-2023 11:20 AM,Rejected-Finance,Not to being L1,13-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,346122,Rajeshwar Singh,09-May-2023 08:58 AM,Accepted-AOC,Being to L1,13-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,346146,RAVI DATT,09-May-2023 02:13 PM,Rejected-Finance,Not to being L1,13-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,346292,TARUN KUMAR,09-May-2023 03:41 PM,Rejected-Finance,Not to being L1,13-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
