Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,Fee/PreQual/Technical,.pdf,Copy of UTR number of payment made against cost of tender form,"1,500",Nil,Nil,No,Executive Engineer,Kumarsain Division HPPWD Kumarsain,1.0,ICICI BANK,09-Mar-2023 05:00 PM,16-Mar-2023 11:00 AM,09-Mar-2023 05:30 PM,15-Mar-2023 06:00 PM,NA ,NA ,09-Mar-2023 05:30 PM,15-Mar-2023 06:00 PM,21-Mar-2023 01:00 PM,PWD,PW-KMS-AB-NIT/2022-23-17697-98 dt 02.03.2023,2023_PWD_70353_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,A/S on Oddi Kingal road Km 2/000 to 3/000 and A/S on link road to village Katari to Lower Ghetti Km 0/000 to 0/900,Renewal Coat 30mm thick Bituminous Concrete,Please refer Tender documents. ,NA ,"30,41,439",Civil Works - Roads,NA ,Tender,90.0,180.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,"60,900",No,fixed,,Nil,Nil,Finance,Technical Bid Evaluation Summary,Manoj Kumar Sehgal,21-Mar-2023 02:46 PM,finance_106036.pdf,BOQ Comparative Chart,1.0,335016.0,parveen,INR,"3,132,526",1.0,335042.0,Naveen Verma,14-Mar-2023 07:01 PM,Rejected-Finance,Being a 2nd lowest bidder,27-Jun-2023,Technical,Technical Bid Opening Summary,Manoj Kumar Sehgal,17-Mar-2023 03:12 PM,technical_106036.pdf,Er. Manoj Kumar,Internal,"Supdt Gr-II, Head Draughtsman",Manoj Kumar Sehgal,21-Mar-2023 12:58 PM,21-Mar-2023 01:00 PM,techsummary_106036.pdf (63.21 KB),PWD,2023_PWD_70353_1,PW-KMS-AB-NIT/2022-23-17697-98 dt 02.03.2023,A/S on Oddi Kingal road Km 2/000 to 3/000 and A/S on link road to village Katari to Lower Ghetti Km 0/000 to 0/900,27-Jun-2023,"INR 3,132,526",90.0,Manoj Kumar Sehgal,27-Jun-2023 10:51 AM,Oddi.pdf (83.00 KB),AOC,Er. Manoj Kumar,Internal,Supdt Gr-II Head Draughtsman,Manoj Kumar Sehgal,27-Jun-2023 10:46 AM,finsummary_106036.pdf (63.21 KB)
,,.pdf,Copy of UTR number of payment made against earnest money,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,335016.0,parveen,14-Mar-2023 07:05 PM,Accepted-AOC,AOC,27-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,G.S.T Registration Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,EPF Registration Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
