Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
PWD,PW-SP-SSL/2022-23/1432-33 dt 16-12-2022,2022_PWD_66811_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Online,No,No,No,19-Dec-2022 03:00 PM,10-Jan-2023 03:30 PM,19-Dec-2022 03:00 PM,10-Jan-2023 03:00 PM,19-Dec-2022 03:00 PM ,01-Jan-2023 03:00 PM ,19-Dec-2022 03:00 PM,10-Jan-2023 03:00 PM,30-Jan-2023 12:10 PM,1.0,Revised Critical dates,Date,,"5,000",Nil,Nil,No,SE(Mech-Pre-Fab-Building and Ropeways),"O/o Engineer-in-Chief, HPPWD, Nirman Bhawan, Nigam Vihar, Shimla-2.",1.0,Fee/PreQual/Technical,.pdf,Principle Manufacturer Proof/Authorized Dealer (Refer Terms and Condition No.1),Supply of SSL with Snow Blower and Snow Blade attachment during the year 2022-23,Please refer tender document,Please refer tender document ,NA ,,Machineries,NA ,Tender,180.0,90.0,Shimla,171002.0,NA ,NA ,NA ,Shimla,No ,No,1.0,ICICI BANK,"4,60,000",No,fixed,,Nil,Nil,1.0,314384.0,Doosan Bobcat India Private Limited,09-Jan-2023 05:39 PM,Accepted-AOC,Fulfilled the criteria as per Tender Document,06-Jun-2023,Technical,Technical Evaluation,Amit Sharma,30-Jan-2023 11:50 AM,technical_100676.pdf,Finance,Bidder found responsive,Amit Sharma,06-Jun-2023 03:49 PM,finance_100676.pdf,BOQ Comparative Chart,1.0,314384.0,Doosan Bobcat India Private Limited,INR,"20,414,000",Superintending Engineer (Mech),Internal,Supdt. Gr-I (SP)Joint Controller (F and A)Executive Engineer (SP),Amit Sharma,30-Jan-2023 12:07 PM,30-Jan-2023 12:10 PM,techsummary_100676.pdf (917.38 KB),PWD,2022_PWD_66811_1,PW-SP-SSL/2022-23/1432-33 dt 16-12-2022,Supply of SSL with Snow Blower and Snow Blade attachment during the year 2022-23,06-Jun-2023,"INR 20,414,000",90.0,Amit Sharma,06-Jun-2023 04:00 PM,Scan_20230606_152713.pdf (6187.00 KB),"Supply of 05 Nos. SSL along with 04 Nos. Snow Blades, 01 Nos. Snow Blower",Superintending Engineer (mech),Internal,"Superintendent Gr-I, Executive Engineer (SP), Controller (F and A)",Amit Sharma,06-Jun-2023 03:56 PM,finsummary_100676.pdf (3514.19 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Earnest Money and Tender Document Fee(Refer Terms and Condition No. 2 and 3 ),,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Literature/Technical specification of Brands(Refer Terms and Condition No. 6 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Non-Blacklisting of the firm/company. (Refer Terms and Condition No. 10 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking for ensuring supplies of spare parts as per Terms and condition No.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DGS and D R/C information (Refer Terms and condition No. 14 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit for correctness of Bids duly signed (Refer Terms and Condition No. 15 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD Terms and Condition duly signed and stamped (Refer Terms and Condition No. 17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Last Three Years annual Turnover statement (Refer Eligibility of Bidders condition No. 2 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documentary proof of Eligibility condition No. 3 (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
