Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Skill Employment and Entrepreneurship Department||Assam Skill Development Mission,2023_SEED_28676_1,ASDM-3142/2022/247RFP,Request for Proposal for Empanelment of Training Providers with Assam Skill Development Mission for providing residential training to 500 drivers of Tea tribes in Light Motor Vehicles/ Commercial Vehicle Driver or HMV job roles under Placement Linked,1.0,173931.0,Valeur Fabtex Private Limited,INR,7353600.0,02-Jun-2023,INR 1.532E+7,65.0,Vikash Jyoti Kalita,02-Jun-2023 03:31 PM,AOC.pdf (2779.00 KB),Mission Director,Internal,,Vikash Jyoti Kalita,02-Jun-2023 02:45 PM,finsummary_46170.pdf (369.03 KB),Mission Director,Internal,Refer Notice,Vikash Jyoti Kalita,02-Jun-2023 02:27 PM,techsummary_46170.pdf (369.03 KB),1,176510,Ajitaaksh Ventures Pvt Ltd,06-Feb-2023 01:19 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,02-Jun-2023 02:21 PM,Finance,Refer Notice,Vikash Jyoti Kalita,02-Jun-2023 02:21 PM,finance_46170.pdf,AOC,"25,000",Yes,fixed,,Nil,Nil,Skill Employment and Entrepreneurship Department||Assam Skill Development Mission,ASDM-3142/2022/247RFP,2023_SEED_28676_1,Yes,Open Tender,Empanelment,Services,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Bid,"5,000",Nil,Nil,Yes,Request for Proposal for Empanelment of Training Providers with Assam Skill Development Mission for providing residential training to 500 drivers of Tea tribes in Light Motor Vehicles/ Commercial Vehicle Driver or HMV job roles under Placement Linked,Request for Proposal for Empanelment of Training Providers with Assam Skill Development Mission for providing residential training to 500 drivers of Tea tribes in Light Motor Vehicles/ Commercial Vehicle Driver or HMV job roles under Placement Linked,Refer RFP ,NA ,,Miscellaneous Services,NA ,Empanelment,180.0,180.0,Assam Skill Development Mission Garchuk Guwahati,781035.0,Assam Skill Development Mission Garchuk Guwahati  ,Assam Skill Development Mission Garchuk Guwahati 781035 ,12-Jan-2023 02:00 PM ,Assam Skill Development Mission Garchuk Guwahati 7,No ,No,Mission Director,Mission Director,1.0,SBI Bank,06-Jan-2023 06:00 PM,07-Feb-2023 11:00 AM,06-Jan-2023 06:00 PM,06-Feb-2023 04:00 PM,06-Jan-2023 06:00 PM ,12-Jan-2023 02:00 PM ,06-Jan-2023 06:00 PM,06-Feb-2023 04:00 PM,1.0,Corrigendum_1,Date,,AOC
,,,,2.0,175140.0,ASSAM PROFESSIONAL ACADEMY SOCIETY,INR,3064000.0,,,,,,,,,,,,,,,,,,,2,175140,ASSAM PROFESSIONAL ACADEMY SOCIETY,05-Feb-2023 02:42 PM,Accepted-AOC,Qualified,02-Jun-2023 03:34 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,3.0,176476.0,Tinsukia Hindi Women Education Society,INR,4902400.0,,,,,,,,,,,,,,,,,,,3,176345,IDEAL ABHIJAN,03-Feb-2023 12:24 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,02-Jun-2023 02:21 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,176426,JAZZY,04-Feb-2023 08:19 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,02-Jun-2023 02:21 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,176214,jobhut,01-Feb-2023 03:11 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,02-Jun-2023 02:21 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,176446,M/s. Najir Hussain,05-Feb-2023 01:01 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,02-Jun-2023 02:21 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,176402,Naagshankar Enterprise,04-Feb-2023 02:33 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,02-Jun-2023 02:21 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,175507,NER EMPOWERMENT FOUNDATION,05-Feb-2023 03:03 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,02-Jun-2023 02:21 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,175161,Pipal Tree Ventures Private Limited,24-Jan-2023 02:43 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,02-Jun-2023 02:21 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,176500,SUSHILA FOUNDATION FOR AGRICALTURAL & RURAL DEVELOPMENT,06-Feb-2023 03:54 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,02-Jun-2023 02:21 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
