S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,DD - Demand Draft,"27,000",No,fixed,,EE Bhawarna,Bhawarna,500.0,EE Bhawarna,Bhawarna,No,Providing and laying Annual Surface (Periodic Maintenance) on link road to village Kharul under performance based Financial Incentive 2018-19 (during the year 2019-20) of PMGSY rural roads in the state of HP,Providing and laying Tack coat and Bituminous Concrete in Km. 3/0 to 5/0,Please refer Tender documents. ,NA ,"13,49,567",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,23-May-2020 02:15 PM,03-Jun-2020 11:30 AM,23-May-2020 02:20 PM,03-Jun-2020 11:00 AM,NA ,NA ,23-May-2020 02:30 PM,03-Jun-2020 11:00 AM,20-Jun-2020 12:30 PM,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,PWD,Link road to village Kharul Km 3-0 to 5-0,2020_PWD_37437_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,PWD,2020_PWD_37437_1,Link road to village Kharul Km 3-0 to 5-0,Providing and laying Annual Surface (Periodic Maintenance) on link road to village Kharul under performance based Financial Incentive 2018-19 (during the year 2019-20) of PMGSY rural roads in the state of HP,Sh Manish Sehgal,Internal,Anoop Sood AE to EE Harjeet Singh Supdt Suresh Kumar HDM Dayal Singh Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,20-Jun-2020 12:19 PM,20-Jun-2020 12:30 PM,techsummary_55191.pdf (955.23 KB),Sh.Manish Sehgal,Internal,,Manish Sehgal,16-Jun-2023 01:00 PM,finsummary_55191.pdf (137.09 KB),16-Jun-2023,"INR 1,861,271.87",90.0,Manish Sehgal,16-Jun-2023 01:01 PM,AOC.pdf (240.00 KB),aoc,Finance,Summary,Manish Sehgal,16-Jun-2023 12:58 PM,finance_55191.pdf,BOQ Comparative Chart,1.0,160637.0,MAHALUXMI ENTERPRISES,INR,"1,861,271.87",1.0,160637.0,MAHALUXMI ENTERPRISES,02-Jun-2020 10:09 PM,Accepted-AOC,L1,16-Jun-2023,Technical,Bid opening summary,Manish Sehgal,20-Jun-2020 11:47 AM,technical_55191.pdf
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,160560.0,M/s Kamala Enterprises,02-Jun-2020 06:01 PM,Rejected-Finance,L3,16-Jun-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,160588.0,Sanjeev,02-Jun-2020 07:09 PM,Rejected-Finance,L2,16-Jun-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
