Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
E.E.Una Division,Internal,"Supdt - A Supdt-Est. Divisional Head Draughtsman , Sr. DAO, and AE to EE",Baldev Singh,30-May-2023 07:19 PM,finsummary_110140.pdf (631.05 KB),21-Jun-2023,"INR 717,200",30.0,Baldev Singh,07-Aug-2023 03:00 PM,Awardletter.pdf (1372.00 KB),Awardletter,PWD,2023_PWD_73269_1,Job 3 A.R and M.O link road to Village Nangal Khur,Job 3 A.R and M.O link road to Village Nangal Khurd from Panjawar Bathri Rroad km. 0-0 to 2-180 Sub Head P.L C.C. Pavement RD. 2-080 to 2-180 and C.C. in shoulder km. 2-0 to 2-180,E.E. Una Division,Internal,"Supdt - A Supdt-Est. Divisional Head Draughtsman , Sr. DAO, and AE to EE",Arvind Chaudhary,25-May-2023 06:06 PM,29-May-2023 10:00 AM,techsummary_110140.pdf (145.97 KB),Technical,TechnicalBidOpeningSummary,Arvind Chaudhary,25-May-2023 05:39 PM,technical_110140.pdf,1.0,348750.0,aman kumar,22-May-2023 05:34 PM,Rejected-Finance,Not L-1,30-May-2023,Finance,Proceedingregardingopeningoffinancialbids,Baldev Singh,30-May-2023 06:34 PM,,BOQ Comparative Chart,1.0,348782.0,Atul Shrma,INR,"487,696",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,1.0,ICICI BANK,17-May-2023 09:00 AM,23-May-2023 11:00 AM,17-May-2023 09:00 AM,23-May-2023 09:00 AM,NA ,NA ,17-May-2023 09:00 AM,23-May-2023 09:00 AM,29-May-2023 10:00 AM,Job 3 A.R and M.O link road to Village Nangal Khurd from Panjawar Bathri Rroad km. 0-0 to 2-180 Sub Head P.L C.C. Pavement RD. 2-080 to 2-180 and C.C. in shoulder km. 2-0 to 2-180,Job 3 A.R and M.O link road to Village Nangal Khurd from Panjawar Bathri Rroad km. 0-0 to 2-180 Sub Head P.L C.C. Pavement RD. 2-080 to 2-180 and C.C. in shoulder km. 2-0 to 2-180,Please refer to Bidding Documents ,NA ,"7,17,200",Civil Works - Roads,NA ,Tender,75.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"14,350",No,fixed,,Nil,Nil,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",500.0,Nil,Nil,No,PWD,Job 3 A.R and M.O link road to Village Nangal Khur,2023_PWD_73269_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,348782.0,Atul Shrma,22-May-2023 07:23 PM,Accepted-AOC,ok,07-Aug-2023,,,,,,,,,,,,,,.pdf,Earnest Money through online,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,348189.0,MONIKA,21-May-2023 09:03 PM,Rejected-Finance,Not L-1,30-May-2023,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,348690.0,SUMIT KUMAR,22-May-2023 04:36 PM,Rejected-Finance,Not L-1,30-May-2023,,,,,,,,,,,,,,.pdf,G.S.T. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,348335.0,Yog Raj,23-May-2023 12:05 AM,Rejected-Finance,Not L-1,30-May-2023,,,,,,,,,,,,,,.pdf,E.P.F. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit showing that the site has been visited by the contractors/ firms and he has studies as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
