Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,Fee/PreQual/Technical,.pdf,Cost of bid as per bid documents,1.0,Addendum,Date,,19-Jan-2023 06:00 PM,25-Feb-2023 11:30 AM,19-Jan-2023 06:00 PM,25-Feb-2023 11:00 AM,NA ,NA ,15-Feb-2023 10:00 AM,25-Feb-2023 11:00 AM,31-Mar-2023 11:30 AM,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Dharampur Bharari,Irrigation and Public Health,HP",17846-17896 dated 19.01.2023,2023_HPIPH_67320_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Providing Irrigation Facility under HP SHIVA Project for Chauntara, Gopalpur and Dharampur Blocks, District Mandi (Himachal Pradesh) Package 7","Providing Irrigation Facility under HP SHIVA Project for Chauntara, Gopalpur and Dharampur Blocks, District Mandi (Himachal Pradesh) Package 7",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,548.0,Dhrampur Chauntra Sarkaghat,175040.0,Hamirpur ,O/O Chief Engineer (Hamirpur Zone) Jal Shakti Vibhag Hamirpur ,06-Feb-2023 11:30 AM ,Bharari,No ,No,"85,50,000",No,fixed,,Executive Engineer JSV Division Dharampur Bharari,Dharampur,1.0,ICICI BANK,Executive Engineer cum Project Manager,Jal Shakti Division Dharampur Bharari District Mandi HP,"10,000",Executive Engineer JSV Division Dharampur Bharari,Dharampur,No,Executive Engineer,Internal,DAO HDM Supdt,Yogesh Kapoor,20-Jun-2023 10:05 AM,finsummary_101476.pdf (438.99 KB),1.0,324540.0,Lahoty Buildcon Limited,INR,"459,829,930.5","HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Dharampur Bharari,Irrigation and Public Health,HP",2023_HPIPH_67320_1,17846-17896 dated 19.01.2023,"Providing Irrigation Facility under HP SHIVA Project for Chauntara, Gopalpur and Dharampur Blocks, District Mandi (Himachal Pradesh) Package 7",1.0,328661.0,HS Engineers and Associates,25-Feb-2023 10:34 AM,Accepted-AOC,reject due to rates are not reasonable,20-Jun-2023,Executive Engineer,Internal,Supdt HDM DAO,Rajiv Sehgal,29-Mar-2023 04:39 PM,31-Mar-2023 11:30 AM,techsummary_101476.pdf (435.37 KB),Technical,Office Order,Rajiv Sehgal,29-Mar-2023 04:34 PM,technical_101476.pdf,Finance,price bid opening proceeding,Rajiv Sehgal,31-Mar-2023 02:29 PM,finance_101476.pdf,BOQ Comparative Chart,20-Jun-2023,"INR 448,944,915.1",548.0,Yogesh Kapoor,20-Jun-2023 10:22 AM,LOA_HPSHIVA.pdf (817.00 KB),LOA
,,.pdf,bid security as per bid document,2.0,Addendum_2,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,2.0,328661.0,HS Engineers and Associates,INR,"518,076,402",,,,,2.0,324540.0,Lahoty Buildcon Limited,22-Feb-2023 06:06 PM,Accepted-AOC,reject due to rates are not reasonable,20-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Financial statement as per bid documents,3.0,Addendum_3,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,328785.0,R.G. INDUSTRIES,INR,"448,944,915.1",,,,,3.0,328785.0,R.G. INDUSTRIES,25-Feb-2023 10:47 AM,Accepted-AOC,Accept due to rates are reasonalbe,20-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Technical proposals as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Experience certificate/report as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"PAN, GST registration as well as latest income tax return.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,The authorization letter regarding digital signature certificate (DSC) of the person authorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Undertaking that I have carefully studied bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Characteristic curve chart of pumping machinery or any other document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Letter of price bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
