Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,06-Dec-2021 05:15 PM,finsummary_76888.pdf (302.90 KB),01-Jun-2023,"INR 597,450",60.0,Rajeev Kumar,01-Jun-2023 06:43 PM,10202.pdf (358.00 KB),"A/R and maintenance of various roads under Chamba Sub Division No. II,Providing patch work with paver)",PWD,2021_PWD_51435_2,NO.PWC-WA-II 6024-123 dated 11.8.21,"A/R and maintenance of various roads under Chamba Sub Division No. II,Providing patch work with paver)",EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,28-Aug-2021 07:37 PM,01-Sep-2021 11:30 AM,techsummary_76888.pdf (223.03 KB),Finance,Bid opening Summary,Jeet Singh Thakur,06-Dec-2021 05:12 PM,finance_76888.pdf,BOQ Comparative Chart,1.0,231755.0,Manesh Mehta,INR,"1,036,000",Technical,BOS,Jeet Singh Thakur,28-Aug-2021 07:36 PM,technical_76888.pdf,1.0,231957.0,Dildar Ali,24-Aug-2021 09:58 PM,Rejected-Finance,2nd lowest,06-Dec-2021,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,PWD,NO.PWC-WA-II 6024-123 dated 11.8.21,2021_PWD_51435_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from in shape of Demand draft,"A/R and maintenance of various roads under Chamba Sub Division No. II,Providing patch work with paver)","A/R and maintenance of various roads under Chamba Sub Division No. II,Providing patch work with paver)",Please refer Tender documents. ,NA ,"5,97,450",Civil Works,NA ,Tender,75.0,60.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,"12,000",No,fixed,,Nil,Nil,19-Aug-2021 05:00 PM,26-Aug-2021 11:30 AM,19-Aug-2021 05:00 PM,25-Aug-2021 05:00 PM,NA ,NA ,19-Aug-2021 05:00 PM,25-Aug-2021 05:00 PM,01-Sep-2021 11:30 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,231755.0,Manesh Mehta,25-Aug-2021 11:53 AM,Accepted-AOC,Work completed,01-Jun-2023,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Earnest Money in shape of FDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8 ,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
