Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,1.0,ICICI BANK,Restoration rain damages on Banethi Bagthan Rajgarh Chandol road Km 48/0 to 87/0 (SH Providing and Laying Patch work between km 78/0 to 82/0).,Restoration rain damages on Banethi Bagthan Rajgarh Chandol road Km 48/0 to 87/0 (SH Providing and Laying Patch work between km 78/0 to 82/0).,Please refer Tender documents. ,NA ,"4,96,416",Civil Works - Roads,NA ,Tender,75.0,30.0,HPPWD DIVISION RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,350.0,Nil,Nil,No,06-Feb-2023 09:00 AM,14-Feb-2023 11:00 AM,06-Feb-2023 09:00 AM,14-Feb-2023 10:30 AM,NA ,NA ,06-Feb-2023 09:00 AM,14-Feb-2023 10:30 AM,21-Feb-2023 10:45 AM,"10,000",No,fixed,,Nil,Nil,PWD,No.PW.RGH.Tender-2022-23-10829 dt.03.02.2023,2023_PWD_68129_11,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Finance,SUMMARY,Ram Singh Thakur,04-Mar-2023 04:39 PM,finance_102618.pdf,BOQ Comparative Chart,Technical,SUMMARY,Ram Singh Thakur,16-Feb-2023 11:44 AM,technical_102618.pdf,Er. Ram Singh EE,Internal,"Er. D.S Kaundal AE Smt. Pushpa Devi Supdt. G-II,Smt. Asha Devi HDM,Sh. Rajinder Kumar Supdt. G-II., Sh. Ghan Shyam Sr.Asstt",Ram Singh Thakur,21-Feb-2023 10:41 AM,21-Feb-2023 10:45 AM,techsummary_102618.pdf (1912.82 KB),1.0,322630.0,ankush thakur,14-Feb-2023 10:27 AM,Rejected-Finance,L5,04-Mar-2023,27-Jun-2023,"INR 496,416",30.0,Ram Singh Thakur,27-Jun-2023 05:32 PM,AOC.pdf (1289.00 KB),work awdwd to Sh. Sanjeev Kumar Govt. Contractor.,1.0,321956.0,Sanjeev Kumar,INR,"482,828",Er. Ram Singh EE,Internal,"Er. D.S Kaundal AE Smt. Pushpa Devi Supdt. G-II,Smt. Asha Dev HDM,Sh. Rajinder Kumar Supdt. G-II., Sh. Ghan Shyam Sr.Asstt",Ram Singh Thakur,04-Mar-2023 05:07 PM,finsummary_102618.pdf (983.12 KB),PWD,2023_PWD_68129_11,No.PW.RGH.Tender-2022-23-10829 dt.03.02.2023,Restoration rain damages on Banethi Bagthan Rajgarh Chandol road Km 48/0 to 87/0 (SH Providing and Laying Patch work between km 78/0 to 82/0).
,,.pdf,EARNEST MONEY,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,321947.0,Neeraj Kumar Chaudhary,12-Feb-2023 06:29 PM,Rejected-Finance,L2,04-Mar-2023,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,322538.0,sachin chauhan,14-Feb-2023 08:06 AM,Rejected-Finance,L4,04-Mar-2023,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,321956.0,Sanjeev Kumar,12-Feb-2023 06:46 PM,Accepted-AOC,L1,27-Jun-2023,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS, CONDITIONS, CONTRACT CLAUSES Refer Gen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,321855.0,V2N Construction,13-Feb-2023 08:32 PM,Rejected-Finance,L3,04-Mar-2023,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
