Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
Er. Manoj Kumar,Internal,Supdt Gr-II Head Draughtsman,Manoj Kumar Sehgal,27-Jun-2023 10:40 AM,finsummary_106021.pdf (87.18 KB),27-Jun-2023,"INR 14,232,051",180.0,Manoj Kumar Sehgal,27-Jun-2023 10:56 AM,Kirti.pdf (84.00 KB),AOC,PWD,2023_PWD_70345_1,PW-KMS-AB-NIT/2022-23-17697-98 dt 02.03.2023,A/S on Narkanda Thanedhar Kotgarh Bithal road Km 7/000 to 12/000 and A/S on Kirti Bhanana road Km.0/000 to 1/500,Er. Manoj Kumar,Internal,"Supdt Gr-II, Head Draughtsman",Manoj Kumar Sehgal,21-Mar-2023 12:56 PM,21-Mar-2023 01:00 PM,techsummary_106021.pdf (87.18 KB),1.0,335182.0,Arun Mehta Govt Contractor,INR,"14,232,051",Finance,Technical Bid Evaluation Summary,Manoj Kumar Sehgal,21-Mar-2023 02:50 PM,finance_106021.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Manoj Kumar Sehgal,17-Mar-2023 03:09 PM,technical_106021.pdf,1.0,335182.0,Arun Mehta Govt Contractor,15-Mar-2023 04:41 PM,Accepted-AOC,AOC,27-Jun-2023,09-Mar-2023 05:00 PM,16-Mar-2023 11:00 AM,09-Mar-2023 05:30 PM,15-Mar-2023 06:00 PM,NA ,NA ,09-Mar-2023 05:30 PM,15-Mar-2023 06:00 PM,21-Mar-2023 01:00 PM,Executive Engineer,Kumarsain Division HPPWD Kumarsain,"5,000",Nil,Nil,No,"2,71,900",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of UTR number of payment made against cost of tender form,A/S on Narkanda Thanedhar Kotgarh Bithal road Km 7/000 to 12/000 and A/S on Kirti Bhanana road Km.0/000 to 1/500,Renewal Coat 30mm thick Bituminous Concrete I/c WBM Gr-II and III,Please refer Tender documents. ,NA ,"1,35,93,243",Civil Works - Roads,NA ,Tender,90.0,180.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,PWD,PW-KMS-AB-NIT/2022-23-17697-98 dt 02.03.2023,2023_PWD_70345_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,335315.0,Om Prakash Mehta,15-Mar-2023 04:07 PM,Rejected-Finance,Being a lowest bidder,27-Jun-2023,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Copy of UTR number of payment made against earnest money.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand Certificate (Gen Rule No 19, Min Amt Work done shown in Schedule F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for Last Five Years alongwith balance sheet (Refer Schedule D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
