Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Superintending Engineer,Internal,Committee member detail uploaded,Mohan Singh Guleria,24-May-2023 03:48 PM,24-May-2023 04:00 PM,techsummary_109424.pdf (439.58 KB),1.0,347256.0,ABS ENTERPRISES,15-May-2023 07:34 PM,Rejected-Finance,Rejected,05-Jun-2023,05-Jun-2023,"INR 1,652,430",90.0,Mohan Singh Guleria,05-Jun-2023 12:10 PM,Award1023.pdf (5571.00 KB),Detail award uploaded,Finance,Committee Member detail uploaded,Mohan Singh Guleria,24-May-2023 04:09 PM,finance_109424.pdf,BOQ Comparative Chart,Technical,Committee Member detail uploaded,Mohan Singh Guleria,17-May-2023 11:56 AM,technical_109424.pdf,HPSEBL||CE(OP) South||SE(OP) Solan,2023_HPSEB_72779_1,10-2023-24,10-2023-24,1.0,345965.0,VINOD KUMAR PANWAR GOVT CONTRACTOR,INR,"1,652,430",Superintending Engineer,Internal,Committee member detail uploaded,Mohan Singh Guleria,05-Jun-2023 12:06 PM,finsummary_109424.pdf (439.58 KB),10-2023-24,E Tendering on partial turnkey basis providing Interlinking of 11KV Dugnihar Navgaon feeder with 11KV Kandhar feeder and Re Conductoring 6 1 2 59mmsq to 6 1 4 72mmsq of existing 11KV HT Line of 11KV Dugnihar Navgaon feeder from 132KV Sub Station Dugn,A-Class Electrical License with Chief Electrical Inspector Shimla ,NA ,"26,41,352",Electrical Works,HT Line ,Tender,180.0,90.0,Solan,173211.0,NA ,NA ,NA ,"SE (OP) Circle, HPSEBL, Solan",No ,No,"26,414",No,percentage,1.0%,Nil,Nil,04-May-2023 10:05 AM,17-May-2023 11:30 AM,04-May-2023 10:05 AM,16-May-2023 04:00 PM,04-May-2023 10:10 AM ,05-May-2023 12:00 PM ,05-May-2023 12:05 PM,16-May-2023 04:00 PM,24-May-2023 04:00 PM,1.0,ICICI BANK,Superintending Engineer,"SE (OP) Circle, HPSEBL, Solan, Power House Road Saproon, Solan",1.0,Fee/PreQual/Technical,.pdf,Proof of EMD and Tender Fees,HPSEBL||CE(OP) South||SE(OP) Solan,10-2023-24,2023_HPSEB_72779_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No
,,,,,,,2.0,346977.0,Chaman Lal Electrical and Hardware Contractor,13-May-2023 02:09 PM,Rejected-Finance,Rejected,05-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,A-Class Electrical License with Chief Electrical Inspector Shimla,,,,,,,,,,,,,,,,,,
,,,,,,,3.0,347340.0,rajinder singh,16-May-2023 11:02 AM,Rejected-Finance,Rejected,05-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BID Capacity/Turnover Certificate with CA Certified,,,,,,,,,,,,,,,,,,
,,,,,,,4.0,345965.0,VINOD KUMAR PANWAR GOVT CONTRACTOR,13-May-2023 04:45 PM,Accepted-AOC,Awarded,05-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate/completion certificate as per SBD Volume-I, Section-III, Clause No. 1.0",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit for Blacklisting/Change of ownership/litigation,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPFO/ESI No.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint Venture if applicable,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price BID,,,,,,,,,,,,,,,,,,
