Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
350.0,Nil,Nil,No,C/O Bassi Badhani Chamboh road km. 0/0 to 9/500,SH C-O Single cell RCC box type culvert 3mtr x 3mtr at RD 5-020 Under SCSP,Please refer Tender documents. ,NA ,"9,63,366",Civil Works,NA ,Tender,60.0,60.0,BHORANJ,176045.0,NA ,NA ,NA ,BHORANJ,No ,No,1.0,ICICI BANK,"19,500",No,fixed,,Nil,Nil,03-May-2023 03:30 PM,10-May-2023 11:30 AM,04-May-2023 09:00 AM,09-May-2023 05:00 PM,NA ,NA ,04-May-2023 10:30 AM,09-May-2023 05:00 PM,18-May-2023 11:30 AM,PWD,PW/BHORANJ(D)TENDER2022-701-08 DT. 29.04.2023,2023_PWD_72785_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment (indicated in Sche,EXECUTIVEENGINEER,Internal,AE DAO HDM SUPDT TA,Krishan Bhardwaj,16-May-2023 04:32 PM,18-May-2023 11:30 AM,techsummary_109431.pdf (1833.25 KB),PWD,2023_PWD_72785_1,PW/BHORANJ(D)TENDER2022-701-08 DT. 29.04.2023,C/O Bassi Badhani Chamboh road km. 0/0 to 9/500,08-Jun-2023,"INR 826,027",60.0,Anil Kumar Sharma,08-Jun-2023 08:57 AM,72785A.pdf (1474.00 KB),WORKAWARDED,EXECUTIVEENGINEER,Internal,SUPDT DAO HDM AE TA,Anil Kumar Sharma,08-Jun-2023 08:55 AM,finsummary_109431.pdf (1473.95 KB),1.0,345580.0,Ashutosh Thakur,07-May-2023 12:08 PM,Rejected-Finance,L3,08-Jun-2023,Technical,SUMMARYATTACHED,Krishan Bhardwaj,16-May-2023 04:15 PM,technical_109431.pdf,Finance,SUMMARYATTACHED,Anil Kumar Sharma,06-Jun-2023 04:18 PM,,BOQ Comparative Chart,1.0,346253.0,AYUSH CHANDEL GOVT CONT,INR,"826,027"
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,2.0,346253.0,AYUSH CHANDEL GOVT CONT,09-May-2023 04:42 PM,Accepted-AOC,WORKAWARD,08-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST, PAN, EPF, Labour license a/w TAX CLEARANCE CERTIFICATE",,,,,,,,,,,,,,,,,,,,,,,,,3.0,346273.0,MNBN Enterprises,09-May-2023 03:11 PM,Rejected-Finance,L2,08-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No. 8 in SBD duly signed by the bidder and witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,4.0,346236.0,Praveen Thakur,09-May-2023 02:00 PM,Rejected-Finance,L5,08-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate C/S by Engineer-in-Charge as per General Rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,5.0,346192.0,SANDEEP CHAUHAN,09-May-2023 02:06 PM,Rejected-Finance,L4,08-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are correct (Name of works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The participating contractor/ firm shall satisfy the XEN that he does not hold more than 2incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder should must be uploaded working programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
