Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,1.0,ICICI BANK,"5,000",Nil,Nil,No,PWD,Nagrota 12/04,2023_PWD_72180_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of 2 Blocks (16 Nos. Quarters) Type-V at Dr. RPGMC and H Tanda in District Kangra (HP) DEPOSIT WORK,Construction of (2 blocks) 16 Nos. Type-V Quarter including Water Supply and Sanitary Installation and Providing Electrical Installation etcetra,Please refer Tender documents. ,NA ,"10,74,35,786",Civil Works - Buildings,NA ,Tender,120.0,540.0,Nagrota Bagwan,176056.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,"21,48,750",No,fixed,,Nil,Nil,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,13-Apr-2023 04:00 PM,25-Apr-2023 11:30 AM,13-Apr-2023 04:00 PM,24-Apr-2023 05:00 PM,NA ,NA ,13-Apr-2023 04:00 PM,24-Apr-2023 05:00 PM,03-May-2023 11:00 AM,Finance,sum,Suresh Kumar Walia,06-May-2023 10:39 AM,finance_108619.pdf,BOQ Comparative Chart,1.0,343403.0,Kumar Associates,INR,"91,212,982",1.0,343202.0,Ashwani Kumar,24-Apr-2023 12:19 PM,Rejected-Finance,Lowest 2,06-May-2023,Technical,sum,Suresh Kumar Walia,28-Apr-2023 03:45 PM,,Superintending Engineer 5th Circle Palampur,Internal,"EE Tanda, EE Ele. Palampur, DAO Tanda, AE Tanda Supdt Tanda",Suresh Kumar Walia,28-Apr-2023 03:53 PM,03-May-2023 11:00 AM,techsummary_108619.pdf (1512.76 KB),PWD,2023_PWD_72180_1,Nagrota 12/04,Construction of 2 Blocks (16 Nos. Quarters) Type-V at Dr. RPGMC and H Tanda in District Kangra (HP) DEPOSIT WORK,26-Jun-2023,"INR 107,435,786",540.0,Suresh Kumar Walia,28-Jun-2023 04:07 PM,Award.pdf (817.00 KB),Award,Superintending Engineer,Internal,EE Tanda AE Tanda DAO Supdt HDM,Suresh Kumar Walia,06-May-2023 10:44 AM,finsummary_108619.pdf (196.58 KB)
,,.pdf,Contractor registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,343584.0,KDN Infrastructure Pvt. Ltd.,24-Apr-2023 03:25 PM,Rejected-Finance,Lowest 7,06-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,PAN No GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,343403.0,Kumar Associates,24-Apr-2023 04:01 PM,Accepted-AOC,Award,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Employee Provident Fund ( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,343789.0,MCC POWER PROJECTS PVT. LTD.,24-Apr-2023 03:22 PM,Rejected-Technical,Document not received as per requirement,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,343553.0,M/s Kulwinder Singh and Co.,23-Apr-2023 01:40 PM,Rejected-Finance,Lowest 5,06-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,343196.0,M/s Surindera Traders,24-Apr-2023 02:54 PM,Rejected-Finance,Lowest 3,06-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,343834.0,PANKAJ KUMAR,24-Apr-2023 04:10 PM,Rejected-Finance,Lowest 6,06-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,342492.0,Ravi Kumar,19-Apr-2023 05:56 PM,Rejected-Finance,Lowest 4,06-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,343285.0,Ujjawal Singh,24-Apr-2023 12:27 PM,Rejected-Technical,Document not received as per requirement,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Work in hand detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
