Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
350.0,EE Bhawarna,Bhawarna,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,Providing and laying Annual Surfacing (Periodic Maintenance) on Bairghatta to Sunhun road in Km 3/0 to 4/0 (during the year 2020-21) of Rural roads in the state of HP,"Providing and laying Tack coat, Bituminous Concrete and C/o V-shape drain in between Km 3/0 to 4/0",Please refer Tender documents. ,NA ,"8,61,003",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,"17,300",No,fixed,,EE Bhawarna,Bhawarna,13-Apr-2020 12:35 PM,27-Apr-2020 11:30 AM,13-Apr-2020 12:40 PM,27-Apr-2020 11:00 AM,NA ,NA ,13-Apr-2020 12:55 PM,27-Apr-2020 11:00 AM,18-May-2020 04:00 PM,1.0,DD - Demand Draft,PWD,Bairghatta to Sunhun road Km 3-0 to 4-0,2020_PWD_36630_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,Sh Manish Sehgal,Internal,Anoop Sood AE to EE Harjeet Singh Supdt Mukesh Kumar JDM Dayal Singh Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,18-May-2020 03:56 PM,18-May-2020 04:00 PM,techsummary_54084.pdf (861.15 KB),PWD,2020_PWD_36630_1,Bairghatta to Sunhun road Km 3-0 to 4-0,Providing and laying Annual Surfacing (Periodic Maintenance) on Bairghatta to Sunhun road in Km 3/0 to 4/0 (during the year 2020-21) of Rural roads in the state of HP,15-Jun-2023,"INR 1,250,228",90.0,Manish Sehgal,15-Jun-2023 03:25 PM,AOC.pdf (399.00 KB),aoc,Sh.Manish Sehgal,Internal,,Manish Sehgal,15-Jun-2023 03:24 PM,finsummary_54084.pdf (115.87 KB),Finance,Summary,Manish Sehgal,15-Jun-2023 03:23 PM,finance_54084.pdf,BOQ Comparative Chart,1.0,157095.0,Sanjeev,INR,"1,192,990",1.0,157204.0,M/s Kamala Enterprises,25-Apr-2020 11:49 AM,Rejected-Finance,Bid Rank-L2,15-Jun-2023,Technical,Bid opening summary,Manish Sehgal,18-May-2020 03:51 PM,technical_54084.pdf
,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,157095.0,Sanjeev,22-Apr-2020 07:50 AM,Accepted-AOC,L1,15-Jun-2023,,,,,
,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
