Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
XEN Elect Divn No II,XEN Elect Divn No II HPPWD Shimla-1,PWD,ED.II.GA.Tender/23-24-1088-89 dated 02.06.2023,2023_PWD_74519_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Receipt of online payment copy of tender form and EMD,"11,200",No,fixed,,Nil,Nil,1.0,corrigendum,Date,,05-Jun-2023 05:00 PM,16-Jun-2023 11:30 AM,05-Jun-2023 05:30 PM,15-Jun-2023 05:00 PM,NA ,NA ,05-Jun-2023 05:30 PM,15-Jun-2023 05:00 PM,1.0,ICICI BANK,Constuction of Govt Sr Secy School building at Sarot Tehsil Jubbal Distt Shimla Prov EI therein,Providing EI therein,Please refer Tender documents. ,NA ,"5,56,952",Electrical Works,NA ,Tender,120.0,365.0,Jubbal Distt Shimla,171001.0,NA ,NA ,NA ,Elect Divn No II HPPWD Shimla-1,No ,No,XEN Elect Divn No II,Internal,Supdt DAO HDM,Sanjeev Thakur,28-Jun-2023 12:07 PM,techsummary_111727.pdf (356.60 KB),PWD,2023_PWD_74519_1,ED.II.GA.Tender/23-24-1088-89 dated 02.06.2023,Constuction of Govt Sr Secy School building at Sarot Tehsil Jubbal Distt Shimla Prov EI therein,Finance,2Nos bids has been opened on 16.06.2023 for financial part in which Yash Pal Singh Electrical contractor found L1,Sanjeev Thakur,16-Jun-2023 11:53 AM,finance_111727.pdf,BOQ Comparative Chart,28-Jun-2023,"INR 574,858",365.0,Sanjeev Thakur,28-Jun-2023 12:15 PM,award.PDF (1683.00 KB),Being L1,XEN Elect Divn No.II,Internal,Supdt DAO HDM,Sanjeev Thakur,28-Jun-2023 12:10 PM,finsummary_111727.pdf (356.60 KB),1.0,353240.0,Nitin Krate,10-Jun-2023 01:22 PM,Rejected-Technical,Being L2,28-Jun-2023,1.0,353133.0,YASH PAL SINGH,INR,"574,858"
,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITC filed,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,353133.0,YASH PAL SINGH,14-Jun-2023 03:03 PM,Accepted-AOC,Being L1,28-Jun-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per tender documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking affidavit of true and correction information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid Electrical enlistment in HPPWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Current work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
