Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Bank Name,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
Barota Domehar Unda Mihara,"SH-Earth work Co. R/Wall, B/Wall, Hume Pipe Culvert, side drain, M/T work, P/L Paver Block and Dumping work etc.",Please refer Tender documents. ,NA ,"2,43,22,824",Civil Works - Roads,NA ,Tender,75.0,365.0,Ghumarwin,174021.0,NA ,NA ,NA ,O/o S.E. 10th Circle Bilaspur,No ,No,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,23-Apr-2023 10:00 AM,04-May-2023 11:30 AM,23-Apr-2023 10:00 AM,04-May-2023 11:00 AM,23-Apr-2023 10:00 AM ,01-May-2023 10:00 AM ,23-Apr-2023 10:00 AM,04-May-2023 11:00 AM,17-May-2023 11:30 AM,"5,000",Nil,Nil,Yes,PWD,Barota Domehar Unda Mihara road Km.0/0 to 2/100,2023_PWD_72385_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"4,86,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Form of bid for part 1 of the bid as per format given in Section 6,Superintending Engineer 10th Circle HPPWD Bilaspur,Superintending Engineer 10th Circle HPPWD Bilaspur,1.0,ICICI BANK,1.0,344393.0,anil thakur,INR,0,Finance,Evaluation Report,Rohit Gupta,17-May-2023 02:33 PM,finance_108901.pdf,BOQ Comparative Chart,1.0,344393.0,anil thakur,02-May-2023 05:38 PM,Accepted-AOC,Rejected,30-Jun-2023,Technical,Report of Technical Bid Evaluation Conducted on 12.05.2023.,Rohit Gupta,12-May-2023 02:17 PM,technical_108901.pdf,SE,Internal,AECHDDAOSupdt,Rohit Gupta,12-May-2023 02:33 PM,17-May-2023 11:30 AM,techsummary_108901.pdf (3850.84 KB),PWD,2023_PWD_72385_1,Barota Domehar Unda Mihara road Km.0/0 to 2/100,Barota Domehar Unda Mihara,21-Jun-2023,"INR 18,716,222",365.0,Rohit Gupta,30-Jun-2023 12:36 PM,letterofproceedBarotaDomeharUndaMihara.pdf (1240.00 KB),AOC,SE,Internal,CHD AED EE Ghumarwin,Rohit Gupta,17-May-2023 03:10 PM,finsummary_108901.pdf (305.57 KB)
,,,,,,,,,,,,,,,,,,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorized address and contact details of the Bidder as per section 2 (12.1 Part 1(iii)),,,2.0,ICICI NEFT/RTGS,2.0,344602.0,Surinder Pal,INR,0,,,,,,,2.0,345046.0,MSC Roads and Bridges Private Limited,03-May-2023 07:53 PM,Accepted-AOC,Rejected,30-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of bidding documents and EMD as per section 2(12.1 Part 1(ii)),,,,,3.0,344878.0,M/S SUKHDEV SHARMA CONTRACTOR,INR,0,,,,,,,3.0,344878.0,M/S SUKHDEV SHARMA CONTRACTOR,03-May-2023 05:43 PM,Accepted-AOC,Rejected,30-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Qualification information(Q.I) as per section 3.1(1.1) (1.2) (1.3.1) (1.3.2)(1.3.3),,,,,4.0,344912.0,Pradeep Kumar,INR,0,,,,,,,4.0,344912.0,Pradeep Kumar,03-May-2023 06:24 PM,Accepted-AOC,Rejected,30-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per section 3-1 (1.4) (1.5) (1.6) (1.7) (1.8),,,,,5.0,344944.0,Sumit Kumar Govt. cont.,INR,"18,716,222",,,,,,,5.0,344944.0,Sumit Kumar Govt. cont.,03-May-2023 07:42 PM,Accepted-AOC,Accepted,30-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6,Certificate Details ,Partnership Deed ,Partnership Deed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per section 3-1 (1.9) (1.10),,,,,6.0,345046.0,MSC Roads and Bridges Private Limited,INR,0,,,,,,,6.0,344602.0,Surinder Pal,01-May-2023 07:24 PM,Accepted-AOC,Rejected,30-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7,Certificate Details ,Character Certificate ,Character Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card as per section2 (12.2b(iii) (iv) (v) (vi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8,Certificate Details ,Labour License ,Labour License ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid validity as per section 2(12.1Part 1(vi)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,9,Certificate Details ,Power of Attorney ,Power of Attorney ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,As per section 2 (12.2c(i) (ii) (iii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,10,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit as per (ITB) Section 2-4.4B (a)(ii) and 4.4B (a)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
