Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
Providing and laying Annual Surfacing (Periodic Maintenance) on Bairghatta to Sunhun road in Km 1/0 to 2/0 (during the year 2020-21) of Rural roads in the state of HP,"Providing and laying Tack coat, Bituminous Concrete and C/o V-shape drain in between Km 1/0 to 2/0",Please refer Tender documents. ,NA ,"8,61,815",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,1.0,DD - Demand Draft,PWD,Bairghatta to Sunhun road Km 1-0 to 2-0,2020_PWD_36629_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Bhawarna,Bhawarna,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,13-Apr-2020 12:15 PM,27-Apr-2020 11:30 AM,13-Apr-2020 12:20 PM,27-Apr-2020 11:00 AM,NA ,NA ,13-Apr-2020 12:40 PM,27-Apr-2020 11:00 AM,18-May-2020 03:50 PM,"17,300",No,fixed,,EE Bhawarna,Bhawarna,Sh Manish Sehgal,Internal,Anoop Sood AE to EE Harjeet Singh Supdt Mukesh Kumar JDM Dayal Singh Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,18-May-2020 03:47 PM,18-May-2020 03:50 PM,techsummary_54083.pdf (858.86 KB),PWD,2020_PWD_36629_1,Bairghatta to Sunhun road Km 1-0 to 2-0,Providing and laying Annual Surfacing (Periodic Maintenance) on Bairghatta to Sunhun road in Km 1/0 to 2/0 (during the year 2020-21) of Rural roads in the state of HP,15-Jun-2023,"INR 1,251,588",90.0,Manish Sehgal,15-Jun-2023 03:18 PM,AOC.pdf (387.00 KB),AOC,Sh.Manish Sehgal,Internal,,Manish Sehgal,15-Jun-2023 03:17 PM,finsummary_54083.pdf (121.14 KB),1.0,157093.0,Sanjeev,INR,"1,194,590",Finance,Summary,Manish Sehgal,15-Jun-2023 03:16 PM,finance_54083.pdf,BOQ Comparative Chart,1.0,157207.0,M/s Kamala Enterprises,25-Apr-2020 11:54 AM,Rejected-Finance,Bid Rank-L2,15-Jun-2023,Technical,Bid opening summary,Manish Sehgal,18-May-2020 03:39 PM,technical_54083.pdf
,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,157093.0,Sanjeev,22-Apr-2020 07:32 AM,Accepted-AOC,Bid Rank-L1,15-Jun-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
