Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
ee,Internal,dao supdt ae to ee ta,Baldev Singh,22-Jun-2023 04:25 PM,finsummary_104442.pdf (760.51 KB),22-Jun-2023,"INR 1,979,873",60.0,Baldev Singh,22-Jun-2023 04:26 PM,2.pdf (761.00 KB),the work has been awarded to sh. rajat thakur,PWD,2023_PWD_69211_2,PWI/CB/C/Tender/10417-47,Periodic Renewal of Rural Roads Badukhar to Hatli Khas Road AMP for year 2023-24,EE,Internal,DAO SUPDT AE TO EE,Arun Vashisht,16-Mar-2023 02:06 PM,17-Mar-2023 10:30 AM,techsummary_104442.pdf (125.67 KB),Finance,the work has been awarded to sh. rajat Thakur,Baldev Singh,22-Jun-2023 04:23 PM,finance_104442.pdf,BOQ Comparative Chart,1.0,328453.0,rajat thakur govt contractor,INR,"1,979,873",Technical,ALL CONTRACTOR ACCEPTED,Arun Vashisht,16-Mar-2023 01:50 PM,technical_104442.pdf,1.0,329940.0,M/s R.K Mahajan Govt Contractor,13-Mar-2023 12:16 PM,Not Admitted-Finance,Price Bid not complied,22-Jun-2023,"2,000",Nil,Nil,Yes,1.0,ICICI BANK,EXECUTIVE ENGINEER,HPPWD DIVISION INDORA,20-Feb-2023 09:00 AM,14-Mar-2023 11:00 AM,20-Feb-2023 09:00 AM,13-Mar-2023 05:00 PM,NA ,NA ,20-Feb-2023 09:00 AM,13-Mar-2023 05:00 PM,17-Mar-2023 10:30 AM,1.0,amendment of the date,Date,,"52,000",Yes,fixed,,Nil,Nil,Periodic Renewal of Rural Roads Badukhar to Hatli Khas Road AMP for year 2023-24,P/L 30MM BITUMINIOUS CONCRETE KM 0/0 TO 1/0 AND 1/0 TO 2/0,Please refer Tender documents. ,NA ,"26,03,654",Civil Works,NA ,Tender,120.0,60.0,INDORA,176401.0,NA ,NA ,NA ,O/O EXECUTIVE ENGINEER,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form only on online mode through e-payment,PWD,PWI/CB/C/Tender/10417-47,2023_PWD_69211_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,328453.0,rajat thakur govt contractor,02-Mar-2023 07:32 PM,Accepted-AOC,1st lowest,22-Jun-2023,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,326095.0,RAVI SHARMA,12-Mar-2023 05:34 PM,Not Admitted-Finance,Price Bid not complied,22-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical staff and machinery,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,328540.0,V S SAINI,24-Feb-2023 05:30 PM,Not Admitted-Finance,Price Bid not complied,22-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ownership of hot mix plant,paver finisher and vibrator Road roller documentary proof uploaded",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money online,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,40 percent similar work done of the estimated cost,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,
