S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3
1.0,ICICI BANK,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",No. JSV-1/TA/ E-tender/23- 4400-29 dt23-05-23,2023_HPIPH_73719_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Providing Separate Water Supply Scheme to upcoming Bulk Drug Park at Polian Beet in Tehsil and Distt Una HP,"(SH Drilling of tubwells, lowering of assembly and development of 300 meter deep each tubewell at 3 Nos. at Singan, 2 Nos. at GondpurJaichand, 4 Nos. at Beetan, 2 Nos. at Bhadiyaran and 1 No. Dulehar ( Gauva)",as per NIT  ,NA ,"5,43,17,388",Civil Works,NA ,Tender,120.0,180.0,Bulk Drug Park at Polian Beet,174301.0,"Una , HP  ",Superintending Engineer Jal Shakti Circle Una HP  ,29-May-2023 11:00 AM ,Una HP,No ,No,"5,75,674",Yes,fixed,,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,1.0,Fee/PreQual/Technical,.pdf,Copy of Certificate of registration with HP Jal Shakti Vibhag or any other state/central as per NIT,23-May-2023 11:00 AM,31-May-2023 11:30 AM,23-May-2023 11:00 AM,31-May-2023 11:00 AM,23-May-2023 11:00 AM ,31-May-2023 11:00 AM ,23-May-2023 11:00 AM,31-May-2023 11:00 AM,03-Jun-2023 12:35 PM,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,"2,500",Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,Yes,--,Internal,----,Vinod Kumar Dhiman,08-Jun-2023 04:34 PM,finsummary_110752.pdf (2965.90 KB),1.0,350129.0,H.N.SINGH AND COMPANY,INR,"57,007,200","HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",2023_HPIPH_73719_1,No. JSV-1/TA/ E-tender/23- 4400-29 dt23-05-23,Providing Separate Water Supply Scheme to upcoming Bulk Drug Park at Polian Beet in Tehsil and Distt Una HP,14-Jun-2023,"INR 57,007,200",180.0,Vinod Kumar Dhiman,14-Jun-2023 12:48 PM,HN.pdf (371.00 KB),AOC,Technical,summary attached,Vinod Kumar Dhiman,03-Jun-2023 12:32 PM,technical_110752.pdf,Finance,summary,Vinod Kumar Dhiman,03-Jun-2023 12:48 PM,finance_110752.pdf,BOQ Comparative Chart,1.0,350129.0,H.N.SINGH AND COMPANY,30-May-2023 04:44 PM,Accepted-AOC,Found L-1,14-Jun-2023,--,Internal,----,Vinod Kumar Dhiman,03-Jun-2023 12:33 PM,03-Jun-2023 12:35 PM,techsummary_110752.pdf (2965.90 KB)
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of EPF registration. If not registered then the successful bidder should get reg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,350975.0,OBEROI TUBEWELLBORING CO,30-May-2023 08:41 PM,Rejected-Finance,Not Found L-1,08-Jun-2023,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificate of registration with the State Ground Water authority, Kasumapati, Shimla-9 as per NIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,350939.0,R.G. INDUSTRIES,30-May-2023 05:37 PM,Rejected-Finance,Not Found L-1,08-Jun-2023,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (online/ offline mode) as per NIT conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (online/ offline mode) as per NIT conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual Turnover during the last 3 Years ending 31st March of the previous financial year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, Experience Certificates as per Pre-qualification criteria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC) of the person authorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A scanned copy of undertaking that I have carefully studied all the terms and conditions stipulated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"viii) PAN (Permanent Account No.), GST registration and EPF registration (if EPF not registered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
