Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"1,500",EE Katrain,Katrain/Kullu,Yes,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as per NIT,Executive Engineer,JAV Division KAtrain,22-Apr-2023 02:00 PM,04-May-2023 11:30 AM,22-Apr-2023 02:10 PM,04-May-2023 11:00 AM,NA ,NA ,22-Apr-2023 02:10 PM,04-May-2023 11:00 AM,23-May-2023 02:35 PM,"1,35,774",Yes,fixed,,EE Katrain,Katrain/ Kullu,Providing Flood Protection Work of River Beas Left Bank for Village Mahili Bihal and Bagga in G.P. Archhandi in Tehsil and Distt. Kullu H.P,"SH C O Gabion Wall of 3.75 mtr. Height design, Toe wall, Appron for a length of 150 mtr. From RD 30800to 30950 Job-4",Please refer Tender documents. ,NA ,"1,03,27,432",Civil Works,NA ,Tender,120.0,180.0,Katrain,175129.0,NA ,NA ,NA ,JSV Division Katrain,No ,No,"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu-I,Irrigation and Public Health,HP",NIT No. 785-834 dt. 21-04-2023,2023_HPIPH_72424_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Er. Arun Sharma EE.,Internal,"Sh. Gopal Singh, Supdt.Gr-II, Sh. Ajay Parashar Sr. Asstt. Smt. prem Lata HDM, Jitender TA",Arun Kumar Sharma,28-Jun-2023 01:35 PM,finsummary_108945.pdf (1264.33 KB),1.0,345036.0,GURBACHAN SING,INR,"7,274,076","HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu-I,Irrigation and Public Health,HP",2023_HPIPH_72424_1,NIT No. 785-834 dt. 21-04-2023,Providing Flood Protection Work of River Beas Left Bank for Village Mahili Bihal and Bagga in G.P. Archhandi in Tehsil and Distt. Kullu H.P,Er. Arun Kumar Sharma Executive Engineer,Internal,"Sh. Gopal Sharma Supdt. Gr.-II, Smt. Prem Lata HDM, Sh. Ajay Prashar Sr. Asstt. Sh. Jitender Kumar Clerk",Arun Kumar Sharma,23-May-2023 02:32 PM,23-May-2023 02:35 PM,techsummary_108945.pdf (3031.50 KB),1,344995,Ajeet Sharma,04-May-2023 09:08 AM,Rejected-Finance,Rejected,28-Jun-2023,28-Jun-2023,"INR 7,274,076",180.0,Arun Kumar Sharma,28-Jun-2023 01:37 PM,Awardletter.pdf (462.00 KB),Award Letter,Finance,Proceeding,Arun Kumar Sharma,28-Jun-2023 01:11 PM,finance_108945.pdf,BOQ Comparative Chart,Technical,Eligibility,Arun Kumar Sharma,23-May-2023 02:23 PM,technical_108945.pdf
,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Cost of tender form as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,345057,Ankit Kumar,03-May-2023 11:28 PM,Rejected-Technical,Rejected,23-May-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Certificate of registration as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,344979,ATUL GUPTA,04-May-2023 09:46 AM,Rejected-Technical,Rejected,23-May-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,PAN No. GST No. and EPF No. as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,345056,CHIRAG SHARMA,03-May-2023 11:01 PM,Rejected-Technical,Rejected,23-May-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Scanned copy of undertaking as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,345036,GURBACHAN SING,04-May-2023 10:30 AM,Accepted-AOC,Accepted,28-Jun-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Authorization letter regarding DSC as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,344997,Kapil Dev,03-May-2023 03:16 PM,Rejected-Finance,Rejected,28-Jun-2023,,,,,,,,,,,,,,,,,,
,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,344996,Kuldeep Sood Govt. Contr.,03-May-2023 03:22 PM,Rejected-Finance,Rejected,28-Jun-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,344969,Lalit Pal,03-May-2023 02:40 PM,Rejected-Finance,Rejected,28-Jun-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,345083,MNBN Enterprises,04-May-2023 10:52 AM,Rejected-Finance,Rejected,28-Jun-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,345029,Mohar Singh Thakur,03-May-2023 06:06 PM,Rejected-Finance,Rejected,28-Jun-2023,,,,,,,,,,,,,,,,,,
