Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
500.0,Nil,Nil,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,"29,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,1.0,ICICI BANK,Repair and maintenance of link road to village Dobber Kallan Leg No. 1 km 0/0 to 1/0,SH C/o cement concrete pavement and retaining wall at various RDs,Please refer Tender documents. ,NA ,"14,72,188",Civil Works,NA ,Tender,60.0,NA ,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,PWD,R/M of link road to village Dobber Kallan,2023_PWD_68356_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,07-Feb-2023 06:00 PM,14-Feb-2023 11:00 AM,07-Feb-2023 06:00 PM,14-Feb-2023 10:30 AM,NA ,NA ,07-Feb-2023 06:00 PM,14-Feb-2023 10:30 AM,22-Feb-2023 11:30 AM,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,21-Feb-2023 07:52 PM,22-Feb-2023 11:30 AM,techsummary_102900.pdf (886.53 KB),PWD,2023_PWD_68356_1,R/M of link road to village Dobber Kallan,Repair and maintenance of link road to village Dobber Kallan Leg No. 1 km 0/0 to 1/0,06-Jun-2023,"INR 1,457,466",30.0,Sanjay Katoch,06-Jun-2023 06:15 PM,AwardFFFFFF.pdf (1225.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,24-Feb-2023 04:17 PM,finsummary_102900.pdf (524.08 KB),1.0,321763.0,sanjeev kumar,INR,"1,531,075",Finance,Attached,Sanjay Katoch,24-Feb-2023 04:14 PM,finance_102900.pdf,BOQ Comparative Chart,1.0,322544.0,Ashok Kumar,13-Feb-2023 09:48 PM,Rejected-Technical,Rejecetd,21-Feb-2023,Technical,Attached,Deepak Kapil,21-Feb-2023 07:35 PM,technical_102900.pdf
,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,322629.0,JAMEEL KHAN GOVT CONTRACTOR,14-Feb-2023 10:22 AM,Rejected-Technical,Rejecetd,21-Feb-2023,,,,,
,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,321763.0,sanjeev kumar,11-Feb-2023 06:44 PM,Accepted-AOC,l1,06-Jun-2023,,,,,
,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,322145.0,surender kumar,13-Feb-2023 12:39 PM,Rejected-Finance,l2,24-Feb-2023,,,,,
,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
