Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description
07-Jun-2023,"INR 31,579,674",30.0,Chuni Lal Sharma,13-Jun-2023 04:46 PM,72348.PDF (1415.00 KB),Work Awarded to Contractor,"Executive Engineer-Chairman,",Internal,"Assistant Engineer Sarkaghat - Member, Superintendent G-II - Member, Divisional Accountant Officer -Member, Divisional Head Draughtsman-Member,",Chuni Lal Sharma,29-May-2023 04:03 PM,finsummary_108844.pdf (938.72 KB),"Executive Engineer-Chairman,",Internal,"Assistant Engineer Sarkaghat - Member, Superintendent G-II - Member, Divisional Accountant Officer -Member, Divisional Head Draughtsman-Member,",Chuni Lal Sharma,09-May-2023 12:07 PM,11-May-2023 11:30 AM,techsummary_108844.pdf (2374.34 KB),PWD,2023_PWD_72348_1,PW-SKT-CB-Tender/2022-23 384-86 dt - 10.04.2023,Periodic maintenance on Joginder Nagar Sarkaghat Ghumarwin Road km 62/0 to 91/500,Finance,Admitted,Chuni Lal Sharma,11-May-2023 11:48 AM,,BOQ Comparative Chart,1.0,344426.0,M/S BUDHA GROUP OF CONSTRUCTIONS AND PROPERTIES,INR,"26,807,859",Technical,Admitted,Anil Rana,29-Apr-2023 06:20 PM,,1.0,344484.0,Kamlesh Kumar Negi,29-Apr-2023 09:38 AM,Rejected-Finance,L5,29-May-2023,"5,000",Nil,Nil,No,20-Apr-2023 02:00 PM,29-Apr-2023 11:30 AM,20-Apr-2023 02:00 PM,29-Apr-2023 10:00 AM,20-Apr-2023 02:00 PM ,29-Apr-2023 10:00 AM ,20-Apr-2023 02:00 PM,29-Apr-2023 10:00 AM,11-May-2023 11:30 AM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"6,32,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,Periodic maintenance on Joginder Nagar Sarkaghat Ghumarwin Road km 62/0 to 91/500,"(SH-Providing and laying Tack Coat, bituminous concrete 30mm thick including profile correction km 82/0 to 91/500) MDR-79 for the year 2023-24.",Please refer Tender documents. ,NA ,"3,15,79,674",Civil Works - Roads,NA ,Rate Contract,90.0,30.0,Sarkaghat,175024.0,NA ,NA ,NA ,Sarkaghat,No ,No,Executive Engineer,"Executive Engineer, Sarkaghat Division, HP.PWD. Sarkaghat",PWD,PW-SKT-CB-Tender/2022-23 384-86 dt - 10.04.2023,2023_PWD_72348_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,344500.0,Manohar Lal,28-Apr-2023 09:05 PM,Rejected-Finance,L3,29-May-2023,,,,,,,,,,,,,,2.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,344426.0,M/S BUDHA GROUP OF CONSTRUCTIONS AND PROPERTIES,28-Apr-2023 10:58 AM,Accepted-AOC,Work Award,13-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration General Rule
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,344499.0,M/S Chauhan Civil Structure Co. Pvt. Ltd.,29-Apr-2023 09:43 AM,Rejected-Finance,L6,29-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,344472.0,MSC Roads and Bridges Private Limited,28-Apr-2023 03:22 PM,Rejected-Finance,L2,29-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand and Work Done certificate General Rule
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,344433.0,OM PARKASH SHARMA AND SONS,28-Apr-2023 04:41 PM,Rejected-Finance,L2,29-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool and Plant as per SBD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,343727.0,S.S.Chauhans Construction Private Limted,28-Apr-2023 08:25 PM,Rejected-Finance,L4,29-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From No 7/8 duly signed by Contractor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ
