Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1.1,Bank Name
Superintending Engineer 4thCircle HPPWD Shimla,Internal,"EE Theog Division HPPWD Theog, Member, EE 4th Circle HPPWD Shimla, Member, AE 4th Circle HPPWD Shimla, Member, CHD 4th Circle HPPWD Shimla, Member, DAO Theog Division HPPWD Theog, Member",Parveen Kumar Verma,28-Apr-2023 03:28 PM,finsummary_105481.pdf (995.77 KB),08-Jun-2023,"INR 19,764,156",540.0,Deepak Raj Chauhan,15-Jun-2023 10:52 AM,AwardletterSandhu.pdf (237.00 KB),"Award Letter for Rs 1,97,64,156/ only",PWD,2023_PWD_69976_1,27022023.0,"C/O Sandu to Talash via Bago road Km 0/00 to 3/105(SH- Formation cutting 5/7 Mtr wide, R/wall, B/wall, CD work, Road side unlined drain, P/L kharanja stone soling, C/O PCC parapets etc in KM 0/00 to 3/105) under NABARD-XXVIII","SE,4th Circle,HPPWD,Winterfield,Shimla-3",Internal,"EE Theog Division HPPWD Theog, Member, EE 4th Circle HPPWD Shimla, Member, AE 4th Circle HPPWD Shimla, Member, CHD 4th Circle HPPWD Shimla, Member, DAO Theog Division HPPWD Theog, Member",Parveen Kumar Verma,18-Apr-2023 04:49 PM,21-Apr-2023 03:00 PM,techsummary_105481.pdf (541.09 KB),Technical,Bid opening summary,Parveen Kumar Verma,11-Apr-2023 04:14 PM,technical_105481.pdf,1.0,335889.0,DEVKI NANDAN SHARMA,01-Apr-2023 06:30 PM,Rejected-Finance,L3,28-Apr-2023,1.0,340010.0,Dixit Keprate,INR,"19,764,156",Finance,Bid opening summary,Parveen Kumar Verma,28-Apr-2023 02:36 PM,finance_105481.pdf,BOQ Comparative Chart,03-Mar-2023 04:00 PM,03-Apr-2023 11:00 AM,03-Mar-2023 04:00 PM,03-Apr-2023 10:30 AM,NA ,NA ,03-Mar-2023 04:00 PM,03-Apr-2023 10:30 AM,21-Apr-2023 03:00 PM,PWD,27022023.0,2023_PWD_69976_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"5,32,000",No,fixed,,Nil,Nil,Superintending Engineer 4th Circle HPPWD Shimla,Superintending Engineer 4th Circle HPPWD Shimla,"C/O Sandu to Talash via Bago road Km 0/00 to 3/105(SH- Formation cutting 5/7 Mtr wide, R/wall, B/wall, CD work, Road side unlined drain, P/L kharanja stone soling, C/O PCC parapets etc in KM 0/00 to 3/105) under NABARD-XXVIII","C/O Sandu to Talash via Bago road Km 0/00 to 3/105(SH- Formation cutting 5/7 Mtr wide, R/wall, B/wall, CD work, Road side unlined drain, P/L kharanja stone soling, CO PCC parapets etc in KM 0 to 3.105) under NABARD-XXVIII",AS PER SBD ,NA ,"2,65,82,591",Civil Works - Roads,NA ,Tender,75.0,540.0,Theog,171201.0,NA ,NA ,NA ,Superintending Engineer 4th Circle HPPWD Shimla,No ,No,"5,000",Nil,Nil,No,1.0,Changes in Dates,Date,,1.0,Fee/PreQual/Technical,.pdf,Cost of Form (Online),1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,340010.0,Dixit Keprate,01-Apr-2023 07:17 PM,Accepted-AOC,L1,15-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum of other of E-in C letter,Other,,,,.pdf,The Earnest Money (Online),2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,339912.0,durga parasd contruction,31-Mar-2023 09:51 PM,Rejected-Finance,L4,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,331708.0,Laiq Ram Chauhan and Sons,02-Apr-2023 11:57 AM,Rejected-Finance,L2,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration, EPF certificate",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,340100.0,RANDEEP CHAUHAN,02-Apr-2023 11:03 PM,Rejected-Finance,L5,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done and work in hand as per Clause 4.2 (c) and 4.4A(b) of ITB Section 2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,338874.0,Sunny Chauhan,29-Mar-2023 06:52 PM,Rejected-Technical,"As per Section 2 of ITB, Clause 4.4 A (a), Turnover Achieved in any one year, a minimum financial turnover required indexed at the rate of 8 percent per annum upto 2021-22 is Rs 199.37 lacs which is more than Rs78.09 lacs of the bidder so not quali",18-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant as per clause 4.2 (d) and 4.4 B (b) (i) of ITB",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid (Part I) as proforma given in Section 6 of SBD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Gazetted and Non-Gazetted HPPWD Employees related to Him(as per clause 4.4 B(c)of ITB,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of True and correct in all respect as per clause 4.4 B(a)(ii)of ITB and Format in Sec. 6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds,,
