Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.3,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address
Finance,as per uploaded document,Dalip singh Patial,16-May-2023 12:15 PM,finance_106496.pdf,BOQ Comparative Chart,1.0,336063.0,PRINCE AIRCON,INR,"9,217,943",Technical,as per uploaded document,Dalip singh Patial,29-Apr-2023 10:28 AM,technical_106496.pdf,1.0,corrigendum,as per uploaded document,28-Apr-2023 01:41 PM,corrRevoke696-99.pdf ,271.0,Technical Opening,1.0,336511.0,ESS ESS ENTERPRISES AND ELECTRONICS,20-Mar-2023 06:33 PM,Rejected-Finance,L2,16-May-2023,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman,Dalip singh Patial,16-May-2023 12:19 PM,finsummary_106496.pdf (22.84 KB),23-Jun-2023,"INR 9,454,300",180.0,Dalip singh Patial,28-Aug-2023 02:53 PM,70642_1.pdf (821.00 KB),PWD,2023_PWD_70642_1,Elect. Division HPPWD Palampur,"C/O Indoor Auditorium Chamba Tehsil Chamba, HP (SH- Providing Variable Refrigeration Volume/Flow based HVAC system in Auditorium therein)",Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman and duly approved by the 2nd Elect. Circle HPPWD Dharamshala,Dalip singh Patial,29-Apr-2023 10:35 AM,06-May-2023 11:30 AM,techsummary_106496.pdf (613.82 KB),"C/O Indoor Auditorium Chamba Tehsil Chamba, HP (SH- Providing Variable Refrigeration Volume/Flow based HVAC system in Auditorium therein)","C/O Indoor Auditorium Chamba Tehsil Chamba, HP (SH- Providing Variable Refrigeration Volume/Flow based HVAC system in Auditorium therein)",Please refer Tender documents. ,NA ,"94,54,300",Electrical Works,NA ,Tender,120.0,180.0,Chamba in Distt. Chamba,176310.0,NA ,NA ,NA ,Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,"1,27,100",No,fixed,,Nil,Nil,13-Mar-2023 05:00 PM,21-Mar-2023 11:30 AM,13-Mar-2023 05:00 PM,21-Mar-2023 10:00 AM,NA ,NA ,13-Mar-2023 05:00 PM,21-Mar-2023 10:00 AM,06-May-2023 11:30 AM,"2,000",Nil,Nil,No,1.0,ICICI BANK,PWD,Elect. Division HPPWD Palampur,2023_PWD_70642_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Elect. Division HPPWD Palampur
,,,,,,,,,,,,,,,,,,,,,,,2.0,336063.0,PRINCE AIRCON,18-Mar-2023 06:25 PM,Accepted-AOC,L1,28-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3.0,335295.0,SMD SOLUTIONS,20-Mar-2023 06:52 PM,Rejected-Finance,L3,16-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Compliance sheet regarding makes and models as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual financial turnover as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules 26.2 (a) page-24 of tender document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance sheet duly signed by CA as per tender document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Works completed/In Hand certificate as per Gen. Conditions 16 at page-22 of tender document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature of work done certificate as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Declaration by the bidder regarding erection, commissioning and testing as per tender document P-147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Gen. Declaration by the bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 of GCC duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
