Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Document,21-Mar-2023 04:00 PM,19-Apr-2023 01:00 PM,21-Mar-2023 04:00 PM,19-Apr-2023 12:00 PM,NA ,NA ,03-Apr-2023 11:00 AM,19-Apr-2023 12:00 PM,23-May-2023 03:00 PM,Superintendent,"OFFICE OF THE SUPERINTENDENT,GAUHATI MEDICAL COLLEGE HOSPITAL,GUWAHATI-32",Health and Family Welfare Department||Directorate of Medical Education-HFWD||Guwahati Medical College Hospital-HFWD,GMCH/19-20/11/PT-III/253/2953,2023_HFWD_30023_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,1.0,CORRIGENDUM,BOQ,,"30,000",No,fixed,,Nil,Nil,1.0,SBI Bank,"procurement of medicines, surgical items and consumables for the department of Pediatrics (NICU and PICU) and O and G (CS and Normal Delivery) GMCH, Guwahati 32","procurement of medicines, surgical items and consumables for the department of Pediatrics (NICU and PICU) and O and G (CS and Normal Delivery) GMCH, Guwahati 32",Please refer Tender documents. ,NA ,,Medicines,NA ,Tender,365.0,NA ,Guwahati,781032.0,"O/o THE SUPERINTENDENT, GMCH,GUWAHATI-32 ","OFFICE OF THE SUPERINTENDENT,GAUHATI MEDICAL COLLEGE HOSPITAL,GUWAHATI-32 ",27-Mar-2023 11:00 AM ,"O/o THE SUPERINTENDENT, GMCH,GUWAHATI-32",No ,No,"2,000",Nil,Nil,No,AOC,Technical,Technical Bid opened for evaluation,Lipseeta Deka,19-Apr-2023 05:20 PM,,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Guwahati Medical College Hospital-HFWD,2023_HFWD_30023_1,GMCH/19-20/11/PT-III/253/2953,"procurement of medicines, surgical items and consumables for the department of Pediatrics (NICU and PICU) and O and G (CS and Normal Delivery) GMCH, Guwahati 32",1.0,181990.0,M B Traders,INR,194.01,1,183748,AAROGYA PHARMACEUTICALS,19-Apr-2023 11:58 AM,Accepted-AOC,Qualified as per item wise,09-Jun-2023 05:21 PM,"Superintendent, GMCH",Internal,,Arun Bikash Hazarika,09-Jun-2023 05:09 PM,finsummary_48253.pdf (1076.78 KB),"Superintendent, GMCH",Internal,,Arun Bikash Hazarika,23-May-2023 10:43 AM,23-May-2023 03:00 PM,techsummary_48253.pdf (27959.79 KB),Finance,Financial bid has been opened for evaluation,Arnab Kumar Sarma,23-May-2023 03:51 PM,,BOQ Comparative Chart,09-Jun-2023,INR 271306.91,297.0,Arun Bikash Hazarika,09-Jun-2023 05:17 PM,Applist.pdf (11788.00 KB),AOC
,,.pdf,Bid Document downloaded from the portal,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Tender Extension Notice,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,182066.0,Cipla Ltd,INR,19553.78,2,182812,Atlantis Healthcare,10-Apr-2023 10:33 PM,Rejected-Finance,L1 as per item wise but due to single bidder the item will be processed for retender,09-Jun-2023 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,3.0,182510.0,MEDICARE HYGIENE LIMITED,INR,455.65,3,182960,B.M. PHARMA & HEALTHCARE PVT.LTD.,12-Apr-2023 01:44 PM,Accepted-AOC,Qualified as per item wise,09-Jun-2023 05:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,4.0,182555.0,NEW KAVITA DRUGS AND SURGICALS,INR,72297.16,4,182066,Cipla Ltd,12-Apr-2023 11:29 AM,Accepted-AOC,Qualified as per item wise,09-Jun-2023 05:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,5.0,182681.0,FREEDOM MEDICAL SERVICES,INR,36948.17,5,182753,DEBANJALI DEY,11-Apr-2023 04:21 PM,Accepted-AOC,Qualified as per item wise,09-Jun-2023 05:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,6.0,182683.0,Medicare Products Inc.,INR,17076.92,6,182681,FREEDOM MEDICAL SERVICES,09-Apr-2023 06:29 PM,Accepted-AOC,Qualified as per item wise,09-Jun-2023 05:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,7.0,182753.0,DEBANJALI DEY,INR,777.71,7,182844,GRD Pharmaceuticals,11-Apr-2023 06:23 PM,Accepted-AOC,Qualified as per item wise,09-Jun-2023 05:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,8.0,182807.0,Premier Sales,INR,1666.56,8,182883,GRD Pharmaceuticals Unit II,11-Apr-2023 06:55 PM,Accepted-AOC,Qualified as per item wise,09-Jun-2023 05:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,9.0,182816.0,M/S MEDICINE PARK,INR,1335.68,9,182848,IMPERIAL SURGICALS,12-Apr-2023 12:43 PM,Accepted-AOC,Qualified as per item wise,09-Jun-2023 05:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,10.0,182844.0,GRD Pharmaceuticals,INR,713.99,10,181990,M B Traders,18-Apr-2023 06:35 PM,Accepted-AOC,Qualified as per item wise,09-Jun-2023 05:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
