Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
500.0,EE Bhawarna,Bhawarna,No,Providing and laying Annual Surface (Periodic Maintenance) on link road from Punner to Tara under performance based Financial Incentive 2018-19 (during the year 2019-20) of PMGSY rural roads in the state of HP,Providing and laying Tack coat and Bituminous Concrete in Km. 0/0 to 2/225,Please refer Tender documents. ,NA ,"15,01,434",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,PWD,Link road from Punner to Tara Km 0-0 to 2-225,2020_PWD_37384_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,22-May-2020 12:35 PM,03-Jun-2020 11:30 AM,22-May-2020 12:40 PM,03-Jun-2020 11:00 AM,NA ,NA ,22-May-2020 12:50 PM,03-Jun-2020 11:00 AM,20-Jun-2020 12:30 PM,"30,100",No,fixed,,EE Bhawarna,Bhawarna,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,Sh Manish Sehgal,Internal,Anoop Sood AE to EE Harjeet Singh Supdt Suresh Kumar HDM Dayal Singh Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,20-Jun-2020 12:17 PM,20-Jun-2020 12:30 PM,techsummary_55087.pdf (969.07 KB),PWD,2020_PWD_37384_1,Link road from Punner to Tara Km 0-0 to 2-225,Providing and laying Annual Surface (Periodic Maintenance) on link road from Punner to Tara under performance based Financial Incentive 2018-19 (during the year 2019-20) of PMGSY rural roads in the state of HP,15-Jun-2023,"INR 2,089,613.4",90.0,Manish Sehgal,15-Jun-2023 03:01 PM,AOC.pdf (249.00 KB),AOC,Sh.Manish Sehgal,Internal,,Manish Sehgal,15-Jun-2023 02:57 PM,finsummary_55087.pdf (140.40 KB),Finance,Summary,Manish Sehgal,15-Jun-2023 02:56 PM,finance_55087.pdf,BOQ Comparative Chart,1.0,160584.0,Sanjeev,INR,"2,089,613",1.0,160649.0,MAHALUXMI ENTERPRISES,02-Jun-2020 11:21 PM,Rejected-Finance,Bid Rank-L3,15-Jun-2023,Technical,Bid opening summary,Manish Sehgal,20-Jun-2020 11:45 AM,technical_55087.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,160557.0,M/s Kamala Enterprises,02-Jun-2020 06:01 PM,Rejected-Finance,Bid Rank-L2,15-Jun-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,160584.0,Sanjeev,02-Jun-2020 07:01 PM,Accepted-AOC,Bid Rank-L1,15-Jun-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
