Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,S.No.2,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
Sh.Manish Sehgal,Internal,,Manish Sehgal,16-Jun-2023 03:14 PM,finsummary_54307.pdf (44.60 KB),16-Jun-2023,"INR 7,327,036.16",365.0,Manish Sehgal,16-Jun-2023 03:15 PM,AOC.pdf (524.00 KB),aoc,PWD,2020_PWD_36775_1,30.00 MTR Span Bailey Bridge Tahal Khad,Construction of 30.00 mtrs. span Bailey Bridge both side approaches over Tahal Khad on Kharouth to Ghaneta via Mahant Nagar (Kabrian) road at RD 1/390.,Sh Manish Sehgal,Internal,Anoop Sood AE to EE Harjeet Singh Supdt Mukesh Kumar JDM Dayal Singh Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,18-May-2020 10:18 AM,18-May-2020 10:20 AM,techsummary_54307.pdf (963.04 KB),Finance,Summary,Manish Sehgal,16-Jun-2023 03:13 PM,finance_54307.pdf,BOQ Comparative Chart,1.0,157707.0,Suraj Parkash Aggarwal,INR,"6,728,376",Technical,Bid opening summary,Manish Sehgal,15-May-2020 11:46 AM,,1.0,157706.0,Chander kant,06-May-2020 08:37 AM,Rejected-Finance,L2,16-Jun-2023,Construction of 30.00 mtrs. span Bailey Bridge both side approaches over Tahal Khad on Kharouth to Ghaneta via Mahant Nagar (Kabrian) road at RD 1/390.,Construction of Abutments,Please refer Tender documents. ,NA ,"38,59,469",Civil Works - Bridges,NA ,Tender,120.0,365.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,"87,900",No,fixed,,EE Bhawarna,Bhawarna,29-Apr-2020 11:00 AM,06-May-2020 11:30 AM,29-Apr-2020 11:05 AM,06-May-2020 11:00 AM,NA ,NA ,29-Apr-2020 11:30 AM,06-May-2020 11:00 AM,18-May-2020 10:20 AM,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,1.0,DD - Demand Draft,"1,500",EE Bhawarna,Bhawarna,No,PWD,30.00 MTR Span Bailey Bridge Tahal Khad,2020_PWD_36775_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,157707.0,Suraj Parkash Aggarwal,06-May-2020 06:51 AM,Accepted-AOC,L1,16-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,
