S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,ICICI BANK,"83,400",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),"5,900",Nil,Nil,No,16-Feb-2023 11:00 AM,24-Feb-2023 11:00 AM,16-Feb-2023 11:00 AM,23-Feb-2023 05:00 PM,NA ,NA ,16-Feb-2023 11:00 AM,23-Feb-2023 05:00 PM,23-Mar-2023 11:00 AM,Executive Engineer,HPSIDC Shimla,HP SIDC Limited,Job No. 1,2023_SIDC_68835_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of road from Industrial Area road to M/S AVG Industries at Kala-Amb Distt. Sirmour (HP).,Construction of road from Industrial Area road to M/S AVG Industries at Kala-Amb Distt. Sirmour (HP).,Please refer Tender documents. ,NA ,"50,91,327",Civil Works - Roads,NA ,Tender,120.0,180.0,Kala Amb,173030.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,1.0,327535.0,PREM SINGH,INR,"4,093,982",14-Jun-2023,"INR 4,093,982",180.0,Sushant Singh Negi,10-Jul-2023 03:23 PM,premaoc.pdf (1242.00 KB),Award Letter,HP SIDC Limited,2023_SIDC_68835_1,Job No. 1,Construction of road from Industrial Area road to M/S AVG Industries at Kala-Amb Distt. Sirmour (HP).,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,27-Mar-2023 03:15 PM,finsummary_103820.pdf (27.30 KB),Finance,Financial summary,Sushant Singh Negi,27-Mar-2023 03:11 PM,finance_103820.pdf,BOQ Comparative Chart,1.0,326617.0,Gaurav Rana,22-Feb-2023 06:45 PM,Rejected-Finance,Third lowest bidder,27-Mar-2023,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,22-Mar-2023 04:27 PM,23-Mar-2023 11:00 AM,techsummary_103820.pdf (455.52 KB),Technical,Tender summary,Sushant Singh Negi,22-Mar-2023 04:25 PM,technical_103820.pdf
2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,327535.0,PREM SINGH,23-Feb-2023 07:50 AM,Accepted-AOC,AOC,10-Jul-2023,,,,,,,,,,,,
,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,326127.0,S.S. Associates,22-Feb-2023 12:03 PM,Rejected-Finance,Second lowest bidder,27-Mar-2023,,,,,,,,,,,,
,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Copy of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Financial Turnover (last five years with breakup) and bid capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
