Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
O/o EE Bhawarna Division HPPWD Bhawarna,O/o EE Bhawarna Division HPPWD Bhawarna,1.0,ICICI BANK,500.0,Nil,Nil,No,PWD,NIT No.1234-93 DT.25-04-2023-Bhawarna,2023_PWD_72574_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"23,000",No,fixed,,Nil,Nil,29-Apr-2023 10:00 AM,06-May-2023 11:30 AM,29-Apr-2023 10:05 AM,06-May-2023 11:00 AM,NA ,NA ,29-Apr-2023 10:30 AM,06-May-2023 11:00 AM,10-May-2023 11:15 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,"Restoration of road damages due to laying of underground optical fiber cable on Bhawarna Henja road, Arla Gugga Mandir road.",Providing and Laying Tarring work in extended portion,Please refer Tender documents. ,NA ,"11,46,485",Civil Works - Roads,NA ,Tender,75.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,O/o EE Bhawarna Division HPPWD Bhawarna,No ,No,1.0,345050.0,M/s Kamala Enterprises,05-May-2023 09:13 PM,Rejected-Finance,Bid Rank-L2,14-Jun-2023,Technical,Summary,Manish Sehgal,10-May-2023 10:49 AM,technical_109151.pdf,1.0,345312.0,Sanjeev,INR,"1,091,400",Finance,Summary,Manish Sehgal,14-Jun-2023 12:13 PM,finance_109151.pdf,BOQ Comparative Chart,PWD,2023_PWD_72574_1,NIT No.1234-93 DT.25-04-2023-Bhawarna,"Restoration of road damages due to laying of underground optical fiber cable on Bhawarna Henja road, Arla Gugga Mandir road.",Sh. Manish Sehgal,Internal,Anand Katoch AEtoEE Subhash Chand Supdt. Mukesh Kumar JDM Naveen Kumar DAO Manjeet Kumar Sr Asstt,Manish Sehgal,10-May-2023 10:58 AM,10-May-2023 11:15 AM,techsummary_109151.pdf (360.29 KB),Sh.Manish Sehgal,Internal,,Manish Sehgal,14-Jun-2023 12:14 PM,finsummary_109151.pdf (134.87 KB),14-Jun-2023,"INR 1,091,400",90.0,Manish Sehgal,14-Jun-2023 12:15 PM,AOC.pdf (357.00 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The valid enlistment/registration of contractor in appropriate class.,,,,,,,,,,,,,,,,,,,2.0,345312.0,Sanjeev,05-May-2023 04:14 PM,Accepted-AOC,Bid Rank-L1,14-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E-mail address and Contact Number of the Contractor/Firm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
