Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
16-Feb-2023 10:00 AM,24-Feb-2023 11:30 AM,16-Feb-2023 10:00 AM,23-Feb-2023 06:00 PM,NA ,NA ,16-Feb-2023 10:00 AM,23-Feb-2023 06:00 PM,04-Mar-2023 01:25 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,Executive Engineer,HPPWD Division Dehra,PWD,EE Dehra letter No. 11076-81 dt. 13.02.2023,2023_PWD_68831_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of missing CD on Bharwain to Dehi Pukhar via Karoa in Km.9/00 to 12/00,Repair and extension of Hume pipe culvert at RD 11/425,Please refer to tender documents ,NA ,"2,73,908",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,1.0,ICICI BANK,"6,000",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,EE Dehra,Internal,"HDM, Supdt, DAO",Dinesh Kumar Dhiman,04-Mar-2023 01:22 PM,04-Mar-2023 01:25 PM,techsummary_103824.pdf (1585.03 KB),PWD,2023_PWD_68831_3,EE Dehra letter No. 11076-81 dt. 13.02.2023,Construction of missing CD on Bharwain to Dehi Pukhar via Karoa in Km.9/00 to 12/00,22-Jun-2023,"INR 273,908",30.0,Arun Vashisht,22-Jun-2023 05:11 PM,68831_3Award.pdf (851.00 KB),work award issued,EE Dehra,Internal,"HDM,Supdt,DAO",Gurvachan Singh,19-Apr-2023 01:15 PM,finsummary_103824.pdf (1031.45 KB),1.0,325790.0,MAHINDER SINGH,21-Feb-2023 02:02 PM,Rejected-Finance,Highest Bidder,19-Apr-2023,Technical,Summary,Dinesh Kumar Dhiman,04-Mar-2023 12:59 PM,technical_103824.pdf,1.0,325615.0,VISHAL DHIMAN GOVT CONTRACTOR,INR,"269,042",Finance,Summary,Gurvachan Singh,19-Apr-2023 01:07 PM,finance_103824.pdf,BOQ Comparative Chart
,,,,,,,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,326004.0,RAJAT SHARMA,20-Feb-2023 08:49 PM,Rejected-Finance,Highest Bidder,19-Apr-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,325615.0,VISHAL DHIMAN GOVT CONTRACTOR,21-Feb-2023 10:56 AM,Accepted-AOC,L1,22-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Detail of existing commitments under Dehra Division.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
