S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
1.0,ICICI BANK,SRMO Glen Hogen building at Directorate of Elementary Education Shimla (HP) (SH- Paneling and minor repair of corridor),(SH- Paneling and minor repair of corridor),Please refer Tender documents. ,NA ,"14,11,428",Civil Works,NA ,Tender,120.0,120.0,Shimla,171001.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,"1,600",Nil,Nil,No,"28,200",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),24-Mar-2023 11:00 AM,01-Apr-2023 11:00 AM,24-Mar-2023 11:00 AM,31-Mar-2023 05:00 PM,NA ,NA ,24-Mar-2023 11:00 AM,31-Mar-2023 05:00 PM,13-Apr-2023 03:10 PM,HP SIDC Limited,Job No. 10,2023_SIDC_71511_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPSIDC Shimla,1.0,Corrigendum,Other,,05-Jun-2023,"INR 1,042,583",120.0,Sushant Singh Negi,05-Jun-2023 04:09 PM,baldevsingh.pdf (2514.00 KB),Award letter,1.0,339808.0,BALDEV SINGH THAKUR,INR,"1,042,583",SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,19-Apr-2023 12:22 PM,finsummary_107604.pdf (42.19 KB),HP SIDC Limited,2023_SIDC_71511_1,Job No. 10,SRMO Glen Hogen building at Directorate of Elementary Education Shimla (HP) (SH- Paneling and minor repair of corridor),Finance,Financial summary,Sushant Singh Negi,19-Apr-2023 12:13 PM,finance_107604.pdf,BOQ Comparative Chart,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,13-Apr-2023 03:06 PM,13-Apr-2023 03:10 PM,techsummary_107604.pdf (462.96 KB),Technical,Tender summary,Sushant Singh Negi,13-Apr-2023 02:58 PM,technical_107604.pdf,1,339418,babu ram,31-Mar-2023 01:03 PM,Rejected-Finance,Sixth lowest bidder,19-Apr-2023
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,339808,BALDEV SINGH THAKUR,31-Mar-2023 01:24 PM,Accepted-AOC,AOC,05-Jun-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,339887,DALIP SINGH,31-Mar-2023 04:58 PM,Rejected-Finance,Tenth lowest bidder,19-Apr-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,339782,jai prakash sharma,31-Mar-2023 01:36 PM,Rejected-Finance,Forth lowest bidder,19-Apr-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,339885,Kaku Ram,31-Mar-2023 04:55 PM,Rejected-Finance,Seventh lowest bidder,19-Apr-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,339322,Mitter Dev Sharma,31-Mar-2023 04:02 PM,Rejected-Finance,Third lowest bidder,19-Apr-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,339551,M Pandit,30-Mar-2023 01:36 PM,Rejected-Finance,Ninth lowest bidder,19-Apr-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,339848,MUKESH KUMAR,31-Mar-2023 03:24 PM,Rejected-Finance,Eleventh lowest bidder,19-Apr-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,339850,RAJINDER,31-Mar-2023 03:48 PM,Rejected-Finance,Fifth lowest bidder,19-Apr-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,339370,Roshan Lal Tomer,29-Mar-2023 04:47 PM,Rejected-Finance,Twelfth lowest bidder,19-Apr-2023
