Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
12-Jun-2023,"INR 3,069,040",180.0,Suresh Kumar Walia,24-Jun-2023 03:49 PM,Award1.pdf (305.00 KB),Award,Executive Engineer,Internal,AE DAO Supdt HDm,Suresh Kumar Walia,31-May-2023 04:13 PM,finsummary_110958.pdf (195.48 KB),Executive Engineer,Internal,AE Supdt HDM DAo,Suresh Kumar Walia,31-May-2023 11:51 AM,31-May-2023 11:55 AM,techsummary_110958.pdf (1087.84 KB),PWD,2023_PWD_73315_2,Nagrota 15.05,A/R and M/O to 500 Bedded Hospital at Dr R.P. Govt. Medical College Tanda in Tehsil Nagrota Bagwan Distt Kangra (HP) (SH-Repair of various works for the year 2023-24 w.e.f. 01.06.2023 to 30.11.2023.),Technical,SUM,Suresh Kumar Walia,31-May-2023 11:50 AM,technical_110958.pdf,1.0,349728.0,sahil choudhary govt contractor,30-May-2023 03:38 PM,Accepted-AOC,Award,24-Jun-2023,1.0,349728.0,sahil choudhary govt contractor,INR,"2,977,890",Finance,sum,Suresh Kumar Walia,31-May-2023 04:11 PM,finance_110958.pdf,BOQ Comparative Chart,"61,400",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,PWD,Nagrota 15.05,2023_PWD_73315_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,A/R and M/O to 500 Bedded Hospital at Dr R.P. Govt. Medical College Tanda in Tehsil Nagrota Bagwan Distt Kangra (HP) (SH-Repair of various works for the year 2023-24 w.e.f. 01.06.2023 to 30.11.2023.),A/R and M/O to 500 Bedded Hospital at Dr R.P. Govt. Medical College Tanda in Tehsil Nagrota Bagwan Distt Kangra (HP) (SH-Repair of various works for the year 2023-24 w.e.f. 01.06.2023 to 30.11.2023.),Please refer Tender documents. ,NA ,"30,69,040",Civil Works - Buildings,NA ,Tender,120.0,180.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,1.0,ICICI BANK,25-May-2023 02:00 PM,31-May-2023 11:00 AM,25-May-2023 02:00 PM,31-May-2023 10:00 AM,NA ,NA ,25-May-2023 02:00 PM,31-May-2023 10:00 AM,31-May-2023 11:55 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,350519.0,VENYA CONSTRUCTIONS AND SUPPLIER,29-May-2023 04:36 PM,Rejected-Finance,Lowest 1,31-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,2.0,ICICI NEFT/RTGS,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,350574.0,VIJAY KUMAR BATRA GOVT CONTRACTOR,30-May-2023 11:43 AM,Rejected-Finance,Lowest 1,31-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,
