Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,10-Apr-2023 04:29 PM,10-Apr-2023 04:30 PM,techsummary_107593.pdf (373.11 KB),Technical,Tender Summary,Sushant Singh Negi,10-Apr-2023 04:27 PM,technical_107593.pdf,1.0,339321.0,RAMESH KUMAR BHARDWAJ,31-Mar-2023 02:18 PM,Rejected-Finance,Third lowest bidder,18-Apr-2023,Finance,Financial summary,BHUP SINGH,18-Apr-2023 04:35 PM,finance_107593.pdf,BOQ Comparative Chart,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",BHUP SINGH,18-Apr-2023 04:43 PM,finsummary_107593.pdf (27.61 KB),HP SIDC Limited,2023_SIDC_71498_1,Job No. 4,Construction of Sub Employment of Exchange office at Karsog Distt. Mandi (HP).,03-Jun-2023,"INR 4,378,807",360.0,Sushant Singh Negi,03-Jun-2023 02:14 PM,sanjaykumar.pdf (1118.00 KB),Award letter,1.0,339684.0,SANJAY MAHAJAN GOVT CONT,INR,"4,378,807",1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),"89,400",No,fixed,,Nil,Nil,Executive Engineer,HPSIDC Shimla,24-Mar-2023 11:00 AM,01-Apr-2023 11:00 AM,24-Mar-2023 11:00 AM,31-Mar-2023 05:00 PM,NA ,NA ,24-Mar-2023 11:00 AM,31-Mar-2023 05:00 PM,10-Apr-2023 04:30 PM,Construction of Sub Employment of Exchange office at Karsog Distt. Mandi (HP).,Construction of Sub Employment of Exchange office at Karsog Distt. Mandi (HP).,Please refer Tender documents. ,NA ,"44,71,123",Civil Works - Buildings,NA ,Tender,120.0,360.0,Karsog,175011.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,1.0,ICICI BANK,HP SIDC Limited,Job No. 4,2023_SIDC_71498_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,300",Nil,Nil,No
,,,,,,,,,,,,2.0,339684.0,SANJAY MAHAJAN GOVT CONT,30-Mar-2023 08:32 PM,Accepted-AOC,AOC,03-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3.0,339725.0,Sanjeev thakur,31-Mar-2023 12:46 PM,Rejected-Finance,Second lowest bidder,18-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
