Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Auction Initiated Status :,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name
HPSEBL,2023_HPSEB_69941_1,CE(MM)-24/2022-23,Procurement of 11 kV and 22 kV 400 Amp G O Switches,1.0,331321.0,Bhatinda Ceramics Pvt. Ltd.,INR,"26,546,214",Sr Executive Engineer,Internal,Assistant Engineer Accounts Officer Junior Engineer,Chhote Lal Sharma,27-Jun-2023 11:37 AM,finsummary_105432.pdf (290.90 KB),1.0,331988.0,AZAD INFRAPOWER PVT. LTD.,06-Mar-2023 05:11 PM,Rejected-AOC,Quoted L-III rates for both the items,27-Jun-2023,Sr. Executive Engineer III,Internal,Assistant Engineer Junior Engineer Under Secretary Account Officer,Suraj Pandey,22-Mar-2023 12:50 PM,22-Mar-2023 04:00 PM,techsummary_105432.pdf (462.78 KB),Technical,Techno commercial bid opening summary,Chhote Lal Sharma,09-Mar-2023 04:39 PM,technical_105432.pdf,Finance,Auto Opened,Suraj Pandey,22-Mar-2023 04:21 PM,,Yes,BOQ Comparative Chart,27-Jun-2023,"INR 26,546,214",180.0,Chhote Lal Sharma,27-Jun-2023 11:40 AM,AWARDSUMMARY.pdf (291.00 KB),The Purchase Order was issued to M/s Bhatinda Ceramics Pvt. Ltd. on dated 15.05.2023,Chief Engineer MM,"Office of Chief Engineer MM, HPSEBL, Shimla","2,16,913",Yes,fixed,,Nil,Nil,HPSEBL,CE(MM)-24/2022-23,2023_HPSEB_69941_1,Yes,Open Tender,Tender cum Auction,Goods,3.0,No,Yes,Online,No,No,No,Procurement of 11 kV and 22 kV 400 Amp G O Switches,Procurement of 11 kV and 22 kV 400 Amp G O Switches,As per NIT ,EMD for Local firms registered with HPSEBL is Nil and for others is Rs. 216913 ,"2,16,91,263",Electrical Work/ Equipment,G.O. Switches ,Tender,120.0,180.0,"Office of Chief Engineer MM, HPSEBL, Shimla",171004.0,NA ,NA ,NA ,"Office of Chief Engineer MM, HPSEBL, Shimla",No ,No,01-Mar-2023 05:00 PM,09-Mar-2023 03:30 PM,01-Mar-2023 05:00 PM,09-Mar-2023 11:30 AM,NA ,NA ,01-Mar-2023 05:00 PM,09-Mar-2023 11:30 AM,22-Mar-2023 04:00 PM,1.0,Fee,.pdf,Proof of Tender Fee,"1,180",Nil,Nil,No,1.0,ICICI BANK
,,,,,,,,,,,,,,,2.0,331321.0,Bhatinda Ceramics Pvt. Ltd.,07-Mar-2023 04:24 PM,Accepted-AOC,Quoted L-I rates for both the items,27-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of EMD,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,3.0,331996.0,J.R.Transformers,07-Mar-2023 11:13 AM,Rejected-Technical,Documents not as Per NIT,22-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,"Renewed BIS Certificate, ISO certificate, GST registration certificate, PAN Card copy and ITR",,,,,,
,,,,,,,,,,,,,,,4.0,331782.0,RK INDUSTRIES BARNALA,06-Mar-2023 04:26 PM,Rejected-Technical,Documents not as Per NIT,22-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Purchase order /supply orders Copies, performance certificate and list of past supplies",,,,,,
,,,,,,,,,,,,,,,5.0,333014.0,SHREE GANESH WATER PUMPS PRIVATE LIMITED,08-Mar-2023 08:12 PM,Rejected-AOC,Quoted L-II rates for 11kV 400 Amp GO Switch,27-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GTPs, Drawings and Type test reports of offered material",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificate of Registration with industry Deptt., Capacity assessment Certificate",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Plant Machinery Testing Equipments used for routine test to be carried out,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Arbitration Court cases and Blacklisting Debarred by any Govt. Semi Govt. organization,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Balance sheet of last three years, Last three years turn over duly certified by CA",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Power of attorney Board of resolution to sign the bid doc and acceptance of terms and condition,,,,,,
