EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"54,000",No,fixed,,Nil,Nil,1.0,amendment of the date,Date,,1.0,ICICI BANK,EXECUTIVE ENGINEER,HPPWD DIVISION INDORA,20-Feb-2023 09:00 AM,14-Mar-2023 11:00 AM,20-Feb-2023 09:00 AM,13-Mar-2023 05:00 PM,NA ,NA ,20-Feb-2023 09:00 AM,13-Mar-2023 05:00 PM,17-Mar-2023 10:30 AM,Periodic Renewal of Village Road Rit to Janera Road AMP for year 2023-24,Providing and Laying 30mm thick bituminous concrete in KM 0/0 to 1/0 and 1/0 to 2/0,Please refer Tender documents. ,NA ,"26,80,119",Civil Works,NA ,Tender,120.0,60.0,INDORA,176401.0,NA ,NA ,NA ,O/O EXECUTIVE ENGINEER,No ,No,"2,000",Nil,Nil,No,PWD,PWI/CB/C/Tender/10417-47,2023_PWD_69211_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form only on online mode through e-payment,EE,Internal,DAO SUPDT AE TO EE,Arun Vashisht,16-Mar-2023 02:14 PM,17-Mar-2023 10:30 AM,techsummary_104474.pdf (116.73 KB),PWD,2023_PWD_69211_7,PWI/CB/C/Tender/10417-47,Periodic Renewal of Village Road Rit to Janera Road AMP for year 2023-24,22-Jun-2023,"INR 1,954,598",60.0,Baldev Singh,22-Jun-2023 05:09 PM,7.pdf (817.00 KB),EE,Internal,DAO SUPDT AE TO EE TA,Baldev Singh,22-Jun-2023 05:09 PM,finsummary_104474.pdf (817.20 KB),Finance,THE WORK HAS BEEN AWARDED TO SH. RAJAT THAKUR,Baldev Singh,22-Jun-2023 05:08 PM,finance_104474.pdf,BOQ Comparative Chart,1.0,328475.0,rajat thakur govt contractor,INR,"1,954,598",1.0,329921.0,M/s R.K Mahajan Govt Contractor,13-Mar-2023 12:24 PM,Not Admitted-Finance,Price Bid not complied,22-Jun-2023,Technical,ALL CONTRACTOR ACCEPTED,Arun Vashisht,16-Mar-2023 01:45 PM,technical_104474.pdf
,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,326510.0,Nishchal Mahajan,13-Mar-2023 02:10 PM,Not Admitted-Finance,Price Bid not complied,22-Jun-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical staff and machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,328475.0,rajat thakur govt contractor,03-Mar-2023 01:35 PM,Accepted-AOC,1ST LOWEST,22-Jun-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ownership of hot mix plant,paver finisher and vibrator Road roller documentary proof uploaded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,326901.0,V S SAINI,22-Feb-2023 04:38 PM,Not Admitted-Finance,Price Bid not complied,22-Jun-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,40 percent similar work done of the estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
