S.No,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,Kaphara to Karloti via Seenhehal raod,2023_PWD_72387_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,23-Apr-2023 10:00 AM,04-May-2023 11:30 AM,23-Apr-2023 10:00 AM,04-May-2023 11:00 AM,23-Apr-2023 10:00 AM ,01-May-2023 10:00 AM ,23-Apr-2023 10:00 AM,04-May-2023 11:00 AM,17-May-2023 11:30 AM,"3,40,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Form of bid for part 1 of the bid as per format given in Section 6,Suprintending Engineer 10th Circle HPPWD Bilaspur,Suprintending Engineer 10th Circle HPPWD Bilaspur,Kaphara to Karloti via Seenbehal road km 0/0 to 2/190,"SH F/C and filling, C/o R/wall, B/wall, Hume pipe culvert, side drain, M/T work , P/L Paver Block and Dumping work etc.",Please refer Tender documents. ,NA ,"1,70,17,418",Civil Works - Roads,NA ,Tender,75.0,365.0,Ghumarwin,174021.0,NA ,NA ,NA ,O/O S E 10th Circle Bilaspur,No ,No,"5,000",Nil,Nil,No,Finance,Evaluation Report,Rohit Gupta,17-May-2023 02:35 PM,finance_108916.pdf,BOQ Comparative Chart,1.0,344892.0,Rakesh Kumar,INR,0,1.0,345037.0,Arvind Sharma,03-May-2023 06:49 PM,Accepted-AOC,Accepted,23-Jun-2023,Technical,Technical Evaluation,Rohit Gupta,12-May-2023 02:24 PM,technical_108916.pdf,PWD,2023_PWD_72387_1,Kaphara to Karloti via Seenhehal raod,Kaphara to Karloti via Seenbehal road km 0/0 to 2/190,S E,Internal,SupdtAECHDDAOEE,Rohit Gupta,12-May-2023 02:29 PM,17-May-2023 11:30 AM,techsummary_108916.pdf (3142.01 KB),SE,Internal,CHD AED EE Ghumarwin,Rohit Gupta,17-May-2023 03:04 PM,finsummary_108916.pdf (278.70 KB),21-Jun-2023,"INR 14,081,178",365.0,Rohit Gupta,23-Jun-2023 04:34 PM,letterofproceedKapharaKarlotiViaSeenbehal.pdf (1111.00 KB),AOC
2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,Authorized address and contact details of the Bidder as per section 2 (12.1 Part 1(iii)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,344991.0,R P Dhiman,INR,0,2.0,344892.0,Rakesh Kumar,03-May-2023 06:27 PM,Accepted-AOC,Rejected,23-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of bidding documents and EMD as per section 2(12.1 Part 1(ii)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,345037.0,Arvind Sharma,INR,"14,081,178",3.0,344991.0,R P Dhiman,03-May-2023 11:41 PM,Accepted-AOC,Rejected,23-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Qualification information(Q.I) as per section 3.1(1.1) (1.2) (1.3.1) (1.3.2)(1.3.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per section 3-1 (1.4) (1.5) (1.6) (1.7) (1.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Certificate Details ,Partnership Deed ,Partnership Deed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per section 3-1 (1.9) (1.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Certificate Details ,Character Certificate ,Character Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card as per section2 (12.2b(iii) (iv) (v) (vi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Certificate Details ,Labour License ,Labour License ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid validity as per section 2(12.1Part 1(vi)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Certificate Details ,Power of Attorney ,Power of Attorney ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,As per section 2 (12.2c(i) (ii) (iii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit as per (ITB) Section 2-4.4B (a)(ii) and 4.4B (a)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
