Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Industries and Commerce Department||Assam Industrial Development Corporation Ltd - ICD,2023_ICD_29086_1,AIDC/US/OM/Golakganj/769/15/ Part-III/439/7831,LEASE RENT OUT OF SOME ASSETS VIZ ONE WEIGH BRIDGE OF 80.00MT CAPACITY AND TRUCK PARKING YARD OF AREA 6000.00 SQM WITH TRANSSHIPMENT FACILITY,B. C. Deori,Internal,,Syed Muhammad Abrar,17-May-2023 07:01 PM,18-May-2023 10:00 AM,techsummary_46834.pdf (483.51 KB),Finance,Financial Bid Opening Summary,Mrinal Kumar Borah,08-Jun-2023 04:32 PM,finance_46834.pdf,BOQ Comparative Chart,1.0,178041.0,DEKA AND ASSOCIATES,INR,1919900.0,08-Jun-2023,INR 1919900.0,330.0,Mrinal Kumar Borah,08-Jun-2023 05:08 PM,null.pdf (184.00 KB),Technical,Minutes of Technical Bid Summary,Syed Muhammad Abrar,29-Apr-2023 10:47 AM,technical_46834.pdf,1,178265,BENGAL AMBAPARK AND ENCLAVE DEVELOPERS PRIVATE LIMITED,27-Feb-2023 02:39 PM,Rejected-AOC,Rejected,08-Jun-2023 05:16 PM,B.C.Deori,Internal,,Mrinal Kumar Borah,08-Jun-2023 05:06 PM,finsummary_46834.pdf (552.80 KB),AOC,LEASE RENT OUT OF SOME ASSETS VIZ ONE WEIGH BRIDGE OF 80.00MT CAPACITY AND TRUCK PARKING YARD OF AREA 6000.00 SQM WITH TRANSSHIPMENT FACILITY,LEASE RENT OUT OF SOME ASSETS VIZ ONE WEIGH BRIDGE OF 80.00MT CAPACITY AND TRUCK PARKING YARD OF AREA 6000.00 SQM WITH TRANSSHIPMENT FACILITY,Please refer Tender documents. ,NA ,"67,65,000",Miscellaneous Services,LEASE/ RENT OUT OF ASSETS  ,Tender,90.0,330.0,"BTC GOLOKGANJ, VILL-LAKHIMARI, Dhubri",783334.0,NA ,NA ,NA ,"AIDC Ltd., R. G. Baruah Road, Ghy-24",No ,No,"1,500",Nil,Nil,No,1.0,Corrigendum II for date extension,Date,,01-Feb-2023 05:00 PM,10-Mar-2023 04:00 PM,01-Feb-2023 05:00 PM,09-Mar-2023 02:00 PM,01-Feb-2023 06:00 PM ,14-Feb-2023 05:00 PM ,01-Feb-2023 06:00 PM,09-Mar-2023 02:00 PM,18-May-2023 10:00 AM,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,"1,40,000",Yes,fixed,,Nil,Nil,Managing Director,"AIDC Ltd., R. G. Baruah Road, Ghy-24",Industries and Commerce Department||Assam Industrial Development Corporation Ltd - ICD,AIDC/US/OM/Golakganj/769/15/ Part-III/439/7831,2023_ICD_29086_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,178041,DEKA AND ASSOCIATES,27-Feb-2023 06:25 PM,Accepted-AOC,Accepted,08-Jun-2023 05:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,178285,EAST INDIA TECHNOSYS PVT LTD,09-Mar-2023 11:34 AM,Rejected-AOC,Rejected,08-Jun-2023 05:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,178230,GARGYA ENTERPRISE,09-Mar-2023 11:29 AM,Not Admitted-Fee/PreQual/Technical,"Others-Average annual turnover during last 3 (three) financial years is less than the minimum required average annual turnover of Rs. 50.00 Lakhs for last 3 years ending March, 2022 mentioned in the tender document.",29-Apr-2023 10:47 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,178318,HIROK ROY,28-Feb-2023 12:48 AM,Not Admitted-Fee/PreQual/Technical,Others-Cost of Bid document (DD) in favour of AIDC not submitted.,29-Apr-2023 10:47 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,178605,Hvs construction materials private limited,09-Mar-2023 11:43 AM,Not Admitted-Fee/PreQual/Technical,Others-1) No experience related to Operation and Maintenance of Weighbridge submitted. 2) GST Registration at Assam not submitted.,29-Apr-2023 10:47 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,178290,KRIPA SINDHU SARKAR,27-Feb-2023 05:43 PM,Not Admitted-Fee/PreQual/Technical,Others-Cost of Bid document (DD) in favour of AIDC not submitted.,29-Apr-2023 10:47 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,177665,MOKTAR ALI SHEIKH,09-Mar-2023 01:32 PM,Rejected-Technical,Rejected,17-May-2023 07:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,177439,M/S. BAMA GAS AGENCY,09-Mar-2023 11:06 AM,Rejected-AOC,Rejected,08-Jun-2023 05:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,178333,M/S BSGRP,28-Feb-2023 11:38 AM,Rejected-Technical,Rejected,17-May-2023 07:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
