S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender document,"27,400",No,fixed,,Nil,Nil,Annual Surfacing on Madholi to Tappa road under Annual maintenance plan for the year 2021-22 on ( PMGSY Road),"Providing and laying 30 mm thick bituminous concrete in km. 5/00 to 6/00, 6/00 to 7/00",Please refer Tender documents. ,NA ,"18,26,527",Civil Works - Roads,NA ,Tender,120.0,60.0,INDORA,176401.0,NA ,NA ,NA ,O/O. EXECUTIVE ENGINEER,No ,No,"1,500",Nil,Nil,No,PWD,Tender/2021-641-71,2022_PWD_60275_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,04-May-2022 01:00 PM,10-May-2022 11:00 AM,04-May-2022 01:00 PM,10-May-2022 10:00 AM,NA ,NA ,04-May-2022 01:00 PM,10-May-2022 10:00 AM,11-May-2022 12:35 PM,EXECUTIVE ENGINEER,HPPWD DIVISION INDORA,Finance,THE WORK HAS BEEN AWARDED MS VS SAINI,Baldev Singh,22-Jun-2023 05:16 PM,finance_91107.pdf,BOQ Comparative Chart,1.0,280942.0,V S SAINI,INR,"2,275,260",1.0,281397.0,M/s R.K Mahajan Govt Contractor,09-May-2022 08:40 PM,Not Admitted-Finance,Price Bid not complied,22-Jun-2023,Technical,ALL ARE RESPONSIVE,Baldev Singh,11-May-2022 12:33 PM,technical_91107.pdf,EE,Internal,DAO SUPDT AE HDM,Baldev Singh,11-May-2022 12:33 PM,11-May-2022 12:35 PM,techsummary_91107.pdf (232.59 KB),PWD,2022_PWD_60275_1,Tender/2021-641-71,Annual Surfacing on Madholi to Tappa road under Annual maintenance plan for the year 2021-22 on ( PMGSY Road),22-Jun-2023,"INR 2,275,260",60.0,Baldev Singh,22-Jun-2023 05:19 PM,1.pdf (598.00 KB),THE WORK HAS BEEN AWARDED TO MS VS SAINI,EE,Internal,DAO SUPDT AE TO EE TA,Baldev Singh,22-Jun-2023 05:17 PM,finsummary_91107.pdf (598.42 KB)
2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,280942.0,V S SAINI,09-May-2022 02:34 PM,Accepted-AOC,1ST LOWEST,22-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Work Done certificate and work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,"List of Machineries, Tools and Plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,List of Both Gazetted and non Gazetted officers HP.PWD. Employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,An Affidavit that information furnished with the bid is correct in all respects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Employees provident funds certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,HPPWD Form 7/8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
