Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.3,Corrigendum Title,Corrigendum Type,View,S.No.1.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Finance,financial summary,Pawan Kumar Garg,09-Jun-2023 12:33 PM,finance_110469.pdf,BOQ Comparative Chart,1.0,350445.0,MANISH MOHAN SHARMA,INR,"5,052,447",Technical,technical evaluation,Pawan Kumar Garg,08-Jun-2023 03:38 PM,technical_110469.pdf,1.0,350338.0,CHANDAN SWAROOP,29-May-2023 10:05 AM,Rejected-Technical,Non responsive,08-Jun-2023,19-Jun-2023,"INR 5,052,447",365.0,Kulbir Singh Thakur,08-Aug-2023 04:24 PM,g20job1LOA.pdf (313.00 KB),LOA,"Er. Pawan Kumar Garg, EE NH Solan",Internal,Miss Akriti Aggarwal AO Sh Harish Chander JE Sh Rajinder Singh Supdtt Gr II Smt Samriti Verma TA,Pawan Kumar Garg,09-Jun-2023 12:39 PM,finsummary_110469.pdf (262.08 KB),"Er. Pawan Kumar Garg, EE NH Solan",Internal,Miss Akriti Aggarwal AO Sh Hrish Chander JE D/B Sh rajinder Singh Supdtt Gr II Smt Samriti Verma TA,Pawan Kumar Garg,08-Jun-2023 03:41 PM,09-Jun-2023 11:00 AM,techsummary_110469.pdf (752.96 KB),PWD,2023_PWD_73512_1,997-1027,"Maintenance of existing road (Kaithlighat to Dhalli section) of NH-05 from Km 131/000 to Km 145/100, Km 0/000 to 24/250 and Km 153/180 to 56/500 for G20 visit","1,28,000",No,fixed,,EE NH Division HPPWD Solan,Solan,EE NH Solan,"Executive Engineer, NH Division, HPPWD Solan",PWD,997-1027,2023_PWD_73512_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Corrigendum I,Other,,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"Maintenance of existing road (Kaithlighat to Dhalli section) of NH-05 from Km 131/000 to Km 145/100, Km 0/000 to 24/250 and Km 153/180 to 56/500 for G20 visit","Routine maintenance, Cutting of Grass and bushes, Prov and applying White washing , Clearance of chowk drains and removal of slips ,Supplying of sand, Maintenance of earthen shoulder, Hiring of Excavator cum loader ,Finishing with Epoxy paint, Hiri",Please refer Tender documents. ,NA ,"63,95,503",Civil Works,NA ,Tender,120.0,365.0,shimla,171001.0,NA ,NA ,NA ,solan,No ,No,1.0,DD - Demand Draft,"2,000",EE NH Division HPPWD Solan,Solan,No,1.0,Fee/PreQual/Technical,.pdf,cost of tender and earnest money,18-May-2023 05:00 PM,29-May-2023 11:00 AM,18-May-2023 05:00 PM,29-May-2023 10:30 AM,NA ,NA ,18-May-2023 05:00 PM,29-May-2023 10:30 AM,09-Jun-2023 11:00 AM
,,,,,,,,,,,,,,,,2.0,350445.0,MANISH MOHAN SHARMA,29-May-2023 10:20 AM,Accepted-AOC,being L1,08-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,.pdf,contractor registration,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,350397.0,M/S BAJRANG ENGINEERING WORKS,28-May-2023 03:30 PM,Rejected-Finance,being L2,09-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,.pdf,EPF Number,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/Sales Tax number,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"list of machinery, tools and plants",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,form of bid,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit regarding correctness of all the documents,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit regarding gazetted and non gazetted employees in HPPWD related to him,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work in hand,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certificate,,,,,,,,,
