Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.3,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description
02-Jun-2023,"INR 17,524,119",365.0,Parveen Kumar Verma,02-Jun-2023 01:18 PM,AOC62745_1.pdf (97.00 KB),AOC,ErSudhirGupta,Internal,ShSureshKumarHDMShR.S ThakurSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,17-Oct-2022 05:31 PM,finsummary_94595.pdf (96.57 KB),ErSudhirGupta,Internal,ShSureshKumarHDMSShManojKumarSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,23-Jul-2022 12:27 PM,23-Jul-2022 02:00 PM,techsummary_94595.pdf (536.00 KB),PWD,2022_PWD_62745_1,SD-I-CTR-Tender-2021-2022- 6739 dated 05-07-2022,"Construction of open Stadium at Sanjauli near S.P.M School. (SH Development works for ground, fencing , stage, railings and sitting area) (Under Shimla SMART City)",Technical,Bid opening summary,Sudhir Kumar Gupta,23-Jul-2022 12:25 PM,technical_94595.pdf,1.0,Corrigendum,Corrigendum,23-Jul-2022 12:19 PM,Bidopening62745_1.pdf ,316.45,Technical Opening,1.0,292275.0,Ankush Negi,21-Jul-2022 04:13 PM,Accepted-AOC,Awarded,02-Jun-2023,Finance,Bid opening summary,Sudhir Kumar Gupta,25-Jul-2022 03:29 PM,finance_94595.pdf,BOQ Comparative Chart,1.0,292275.0,Ankush Negi,INR,"17,156,215",PWD,SD-I-CTR-Tender-2021-2022- 6739 dated 05-07-2022,2022_PWD_62745_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"3,50,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,"5,000",Nil,Nil,No,"Construction of open Stadium at Sanjauli near S.P.M School. (SH Development works for ground, fencing , stage, railings and sitting area) (Under Shimla SMART City)","Construction of open Stadium at Sanjauli near S.P.M School. (SH Development works for ground, fencing , stage, railings and sitting area) (Under Shimla SMART City)",As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,365.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,14-Jul-2022 06:00 PM,22-Jul-2022 11:00 AM,14-Jul-2022 06:00 PM,22-Jul-2022 10:00 AM,NA ,NA ,14-Jul-2022 06:00 PM,22-Jul-2022 10:00 AM,23-Jul-2022 02:00 PM,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,292061.0,Sandeep Chandel,21-Jul-2022 08:03 PM,Rejected-Finance,2nd Lowest,17-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD with UTR No (As per schedule F)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,292278.0,SWARAN INDUSTRIES,21-Jul-2022 03:52 PM,Rejected-Finance,3rd Lowest,17-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.18)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.16 counter signed by EE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.26.2a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 8 (submit the original as per schedule time and date
