S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Instrument Type
1.0,189873.0,HARSH SHARMA,INR,"4,379,832",Finance,Summary,Manish Sehgal,24-Jun-2023 02:45 PM,finance_63026.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Manish Sehgal,11-Dec-2020 10:52 AM,technical_63026.pdf,1.0,189873.0,HARSH SHARMA,30-Nov-2020 12:24 PM,Accepted-AOC,L1,24-Jun-2023,Sh.Manish Sehgal,Internal,,Manish Sehgal,24-Jun-2023 02:49 PM,finsummary_63026.pdf (119.34 KB),24-Jun-2023,"INR 4,581,375.85",365.0,Manish Sehgal,24-Jun-2023 03:30 PM,AOC.pdf (1224.00 KB),AOC,PWD,2020_PWD_42531_1,C/o Executive Engineer Residence at Bhawarna,Construction of HP.PWD Executive Engineer Residence at Bhawarna,Sh Manish Sehgal,Internal,Joginder Kumar AE to EE Suresh Kumar HDM Suraj Parkash Sr DAO Manjeet Kumar Jr Asstt,Manish Sehgal,11-Dec-2020 11:03 AM,11-Dec-2020 11:30 AM,techsummary_63026.pdf (970.94 KB),1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,17-Nov-2020 05:00 PM,01-Dec-2020 11:30 AM,17-Nov-2020 05:05 PM,01-Dec-2020 11:00 AM,NA ,NA ,17-Nov-2020 05:30 PM,01-Dec-2020 11:00 AM,11-Dec-2020 11:30 AM,"1,500",EE Bhawarna,Bhawarna,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,"56,200",No,fixed,,EE Bhawarna,Bhawarna,PWD,C/o Executive Engineer Residence at Bhawarna,2020_PWD_42531_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Construction of HP.PWD Executive Engineer Residence at Bhawarna,"C/o Building portion i/c WS and SI, Septic Tank and Providing Rain Water Harvesting Tank).",Please refer Tender documents. ,NA ,"32,46,670",Civil Works - Buildings,NA ,Tender,120.0,365.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,1.0,DD - Demand Draft
,,,,,,,,,,,,,,,,2.0,189800.0,M/S KEWAL KRISHAN,28-Nov-2020 01:36 PM,Rejected-Finance,L2,24-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit
,,,,,,,,,,,,,,,,3.0,189951.0,Narender Thakur Govt. Contractor,01-Dec-2020 10:53 AM,Rejected-Technical,Non-Responsive,11-Dec-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
