EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"2,57,000",Yes,fixed,,Nil,Nil,"Chief Engineer,PWD(Roads),Assam","O/o the Chief Engineer, Roads,PWRD Assam, chandmari, Guwahati-781003","2,570",Nil,Nil,Yes,03-Dec-2022 10:00 AM,21-Dec-2022 02:00 PM,03-Dec-2022 10:00 AM,20-Dec-2022 02:00 PM,03-Dec-2022 10:00 AM ,12-Dec-2022 12:00 PM ,13-Dec-2022 02:00 PM,20-Dec-2022 02:00 PM,16-Feb-2023 06:30 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Document,1.0,SBI Bank,Maint/MMPPNA/247,Maint/MMPPNA/247 Construction of Road from Gariakoth MV School to Gurkuchi telera Road (from ch. 0.00 m to 1500.00 m ) including Routine Maintanence for 4 Years Under Mukhya Mantrir Paki Path Nirman AAachani for the year 2022-23,Please refer Tender documents. ,NA ,"1,28,69,000",Civil Works,NA ,Tender,180.0,270.0,Rangia,781003.0,"O/o the Chief Engineer, Roads,PWRD Assam,chandmari ","O/o the Chief Engineer, Roads,PWRD Assam, chandmari, Guwahati-781003  ",12-Dec-2022 12:00 PM ,"O/o the Chief Engineer, Roads,PWRD Assam,chandmari",No ,No,Public Works Roads Department,CE/CMRDP/MMPNA/2022/11,2022_PWD_27924_262,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,Finance,Recommended by bid evaluation committee,Bhupendra Nath Das,12-Jun-2023 12:16 PM,,BOQ Comparative Chart,Technical,Technical Evaluation Summary Sheet Uploaded,Pranjal Bhattacharyya,16-Feb-2023 06:28 PM,technical_44050.pdf,1,168029,ABINASH DEKA,17-Dec-2022 09:57 PM,Rejected-Finance,Rejected by BEC,12-Jun-2023 12:23 PM,Chief Engineer PWD_Roads Department Assam,Internal,AEE Maintenance cell EE IBRC Branch SE Traffic Engineering Cell_ Chief Engineer PWD Roads Department Assam,Pranjal Bhattacharyya,16-Feb-2023 06:29 PM,16-Feb-2023 06:30 PM,techsummary_44050.pdf (414.81 KB),Public Works Roads Department,2022_PWD_27924_262,CE/CMRDP/MMPNA/2022/11,Maint/MMPPNA/247,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,166619,DHARMENDRA BAISHYA,18-Dec-2022 01:57 PM,Rejected-Finance,Rejected by BEC,12-Jun-2023 12:23 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,168621,JAYANTA KUMAR DAS,20-Dec-2022 11:48 AM,Rejected-Finance,Rejected by BEC,12-Jun-2023 12:23 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,166725,Jayanta Sarma,16-Dec-2022 11:47 PM,Rejected-Finance,Rejected by BEC,12-Jun-2023 12:23 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,166616,Jintu Nath,18-Dec-2022 02:00 PM,Rejected-Finance,Rejected by BEC,12-Jun-2023 12:23 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form Of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,166565,MANOJ KALITA,16-Dec-2022 11:04 PM,Accepted-AOC,Accepted by BEC,12-Jun-2023 12:25 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,168787,M/S RM GROUP OF ENGINEERS,19-Dec-2022 06:34 PM,Rejected-Finance,Rejected by BEC,12-Jun-2023 12:23 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,167693,SIDDHARTHA KALITA,17-Dec-2022 02:36 PM,Rejected-Finance,Rejected by BEC,12-Jun-2023 12:23 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,168380,Sri Akhilananda Bhattacharjya,19-Dec-2022 07:32 PM,Rejected-Finance,Rejected by BEC,12-Jun-2023 12:23 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,168127,Syed Hayadul Hannan,20-Dec-2022 12:18 AM,Rejected-Finance,Rejected by BEC,12-Jun-2023 12:23 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,11,169077,UMESH BARMAN,20-Dec-2022 01:10 PM,Rejected-Finance,Rejected by BEC,12-Jun-2023 12:23 PM,,,,,,,,,,,,AOC
