Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
350.0,Nil,Nil,No,30-Mar-2021 10:00 AM,06-Apr-2021 11:30 AM,30-Mar-2021 10:00 AM,05-Apr-2021 05:00 PM,NA ,NA ,30-Mar-2021 10:00 AM,05-Apr-2021 05:00 PM,23-Apr-2021 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,Executive Engineer Killar Division HPPWD Killar,Executive Engineer Killar Division HPPWD Killar,"M/T and improvement of Geometrics, C/D work on Udeni km 0/0 to 0/500 Providing and laying","M/T and improvement of Geometrics, C/D work on Udeni km 0/0 to 0/500 Providing and laying WBM Gr-III, 20 mm thick premix carpet with seal coat km 0/0 to 0/500",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,90.0,Killar,176323.0,NA ,NA ,NA ,Executive Engineer Killar Division HPPWD Killar,No ,No,"9,600",No,fixed,,Nil,Nil,PWD,No.KD-GA-2020-21- 14672-14771 dated 15.3.2021,2021_PWD_46063_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AE,Internal,supdt hdm dao and ga,Jeet Singh Thakur,20-Apr-2021 08:12 PM,23-Apr-2021 11:30 AM,techsummary_69296.pdf (406.94 KB),PWD,2021_PWD_46063_3,No.KD-GA-2020-21- 14672-14771 dated 15.3.2021,"M/T and improvement of Geometrics, C/D work on Udeni km 0/0 to 0/500 Providing and laying",17-Jun-2023,"INR 1,864,962",90.0,Vishal Chopra,17-Jun-2023 01:13 PM,aoc.pdf (1045.00 KB),"M/T and improvement of Geometrics, C/D work on Udeni km 0/0 to 0/500 Providing and laying",ER Mohinder Thakur EE,Internal,DAO HDM Supdt,Vishal Chopra,17-Jun-2023 01:01 PM,finsummary_69296.pdf (178.50 KB),Finance,Bid opening Summary,Rajeev Kumar,08-Jun-2023 05:58 PM,,BOQ Comparative Chart,1.0,207488.0,CHATTAR SINGH GOVT. CONT.,INR,"1,864,692",1.0,207488.0,CHATTAR SINGH GOVT. CONT.,05-Apr-2021 04:56 PM,Accepted-AOC,eligible and he is agree to construct the work,17-Jun-2023,Technical,BOS,Jeet Singh Thakur,20-Apr-2021 08:10 PM,technical_69296.pdf
,,,,,,,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,207379.0,Surender Kumar,05-Apr-2021 04:42 PM,Rejected-Finance,second lowest,17-Jun-2023,,,,,
,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 and as per invitation of bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Own Hot Mix Plant/Mini Hot Mix Plant and road Roller documentary proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,"The Existing commitment / work in hand, documentary proof for the same will have to be furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
