Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,1.0,ICICI BANK,27-Mar-2023 10:00 AM,06-Apr-2023 11:00 AM,27-Mar-2023 10:00 AM,06-Apr-2023 10:30 AM,NA ,NA ,27-Mar-2023 05:00 PM,06-Apr-2023 10:30 AM,17-Apr-2023 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form as mentioned in SBD,Construction of Combined Office building at Multhan Tehsil Baijnath Distt. Kangra H.P,"Construction of Main building including WS and SI, Septic tank and Rain water harvesting system",Please refer Tender documents. ,NA ,"4,26,87,698",Civil Works - Buildings,NA ,Tender,90.0,730.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,"8,54,000",No,fixed,,Nil,Nil,PWD,PWD-BD-TA-2022-23-21714-64,2023_PWD_71610_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,PWD,2023_PWD_71610_1,PWD-BD-TA-2022-23-21714-64,Construction of Combined Office building at Multhan Tehsil Baijnath Distt. Kangra H.P,Xen HPPWD Baijnath,Internal,"DAOG-I, HDM, SupdtGII AE Baijnath",Sanjiv Kumar,11-Apr-2023 01:04 PM,17-Apr-2023 11:00 AM,techsummary_107732.pdf (263.10 KB),Xen HPPWD Baijnath,Internal,"DAO, HDM, SupdtG-II AE Baijnath",Sanjiv Kumar,14-Jun-2023 12:59 PM,finsummary_107732.pdf (83.90 KB),14-Jun-2023,"INR 42,687,698",730.0,Sanjiv Kumar,14-Jun-2023 01:00 PM,AwardMulthan.PDF (144.00 KB),1.0,339181.0,M/s Bhagwati Construction Co.,05-Apr-2023 04:44 PM,Rejected-Finance,Higher Side,14-Jun-2023,Technical,Two bidders participated in this work and found responsive. Hence committee decided to open the financial bid.,Sanjiv Kumar,11-Apr-2023 01:03 PM,technical_107732.pdf,1.0,339183.0,Om Parkash Sharma And Sons,INR,"44,736,697",Finance,Financial bid of 2 bidder open successfully,Sanjiv Kumar,14-Jun-2023 12:57 PM,finance_107732.pdf,BOQ Comparative Chart
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Earnest Money as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,339183.0,Om Parkash Sharma And Sons,05-Apr-2023 04:41 PM,Accepted-AOC,Lower Side,14-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,GST Registration PAN Card and EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Minimum similar nature of work done 40percent of the estimated cost without LD in last five years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Work in hand as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Machinery with proof of ownership if hiring affidavit of consent required from owner of machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Affidavit regarding Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Undertaking regarding arbitration / litigation with PWD is pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
