Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the bid as per Section-6,EXECUTIVE ENGINEER,"Executive Engineer, Tauni Devi Division, HP.PWD., Tauni Devi","5,000",Nil,Nil,No,"5,30,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,PW-TDD-GA-NIT-2022-23-14411-65 DT. 09-12-2022,2022_PWD_66930_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Balance work of construction of Link road Thana Tikkar to Jattan di dhar via Chamarara km 00 to 5130 ic One No Bridge at RD 3190,SH CO 57mtr Wide road formation cutting slab culverts and 1 No Bridge over Jangler Khad at RD. 3190 Under NABARD RIDFXXIII,Please refer Tender documents. ,NA ,"2,65,07,537",Civil Works - Roads,NA ,Rate Contract,75.0,730.0,TAUNI DEVI,177023.0,NA ,NA ,NA ,TAUNI DEVI,No ,No,28-Dec-2022 10:00 AM,05-Jan-2023 11:30 AM,29-Dec-2022 10:00 AM,04-Jan-2023 11:00 AM,NA ,NA ,29-Dec-2022 11:00 AM,04-Jan-2023 11:00 AM,20-Jan-2023 11:30 AM,Finance,SUMMARYATTACHED,Krishan Bhardwaj,26-Feb-2023 10:37 AM,finance_100877.pdf,BOQ Comparative Chart,1.0,314979.0,SUMESH KUMAR,INR,"32,080,626",1.0,314864.0,ASHOK KUMAR THAKUR GOVT CONTRACTOR,03-Jan-2023 11:55 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Jan-2023,Technical,SUMMARYATTACHED,Krishan Bhardwaj,18-Jan-2023 06:24 PM,technical_100877.pdf,PWD,2022_PWD_66930_1,PW-TDD-GA-NIT-2022-23-14411-65 DT. 09-12-2022,Balance work of construction of Link road Thana Tikkar to Jattan di dhar via Chamarara km 00 to 5130 ic One No Bridge at RD 3190,EXECUTIVEENGINEER,Internal,SUPDT DAO HDM,Krishan Bhardwaj,18-Jan-2023 06:41 PM,20-Jan-2023 11:30 AM,techsummary_100877.pdf (1632.68 KB),EXECUTIVEENGINEER,Internal,SUPDT DAO HDM,Krishan Bhardwaj,26-Feb-2023 10:53 AM,finsummary_100877.pdf (491.66 KB),24-Jun-2023,"INR 32,080,626",730.0,Arvind Lakhanpal,24-Jun-2023 02:05 PM,sumesh.pdf (850.00 KB),Balance work of construction of Link road Thana Tikkar to Jattan di dhar via Chamarara km 00 to 5130 ic One No Bridge at RD 3190
,,.pdf,Cost of Tender form as per Section-1 Point No. 3 through online i.e. online mode i.e. Scanned copy o,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,314521.0,OM PARKASH SHARMA AND SONS,03-Jan-2023 04:18 PM,Rejected-Finance,L2,26-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Bid Security as per Section-2 Cl-16.2 through online mode i.e. Scanned copy of e-payment/online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,314979.0,SUMESH KUMAR,04-Jan-2023 09:52 AM,Accepted-AOC,Work Awarded,24-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Registration as per Q.I- Section -3 (1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Q.I as per section 3 (1.3.1), (1.3.2), (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Q.I as per section 3 (1.4), (1.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Q.I as per section 3 (1.6), (1.8), (1.9), (1.10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Q.I as per section 3 (1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Q.I as per section 2 CI (4.2g) and CL 4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Q.I as per section 2 CL (4.4A (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
