Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
"1,180",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Proof of EMD and Tender Fees,26-May-2023 10:00 AM,14-Jun-2023 11:30 AM,26-May-2023 10:10 AM,13-Jun-2023 04:00 PM,26-May-2023 10:20 AM ,27-May-2023 12:00 PM ,27-May-2023 12:05 PM,13-Jun-2023 04:00 PM,16-Jun-2023 03:45 PM,1.0,ICICI BANK,Superintending Engineer,"SE (OP) Circle, HPSEBL, Solan Power House Road Saproon Solan",15-2023-24,E Tendering on turnkey basis for Providing Twelve days basic training to the newly recruited T Mates Helpers of HPSEBL at Skill Development Centre HPSEBL Solan under Electrical Division Solan for the year 2023 24,Food License with competent authority (Health Department of HP Govt.) ,NA ,"68,27,934",Hotel/ Catering,Food and stationary providing during training ,Tender,600.0,300.0,Solan,173211.0,NA ,NA ,NA ,"SE (OP) Circle, HPSEBL, Solan",No ,No,HPSEBL||CE(OP) South||SE(OP) Solan,15-2023-24,2023_HPSEB_73932_1,Yes,Open Tender,Turn-key,Services,2.0,No,No,Online,No,No,No,1.0,Date extended 15 due to some technical reason,Date,,"68,279",No,percentage,1.0%,Nil,Nil,Finance,Price Bid Downloaded successfully and committee member detail uploaded,Mohan Singh Guleria,16-Jun-2023 03:49 PM,finance_111005.pdf,BOQ Comparative Chart,Technical,Technically document downloaded successfully and committee member detail uploaded,Mohan Singh Guleria,14-Jun-2023 04:04 PM,technical_111005.pdf,21-Jun-2023,"INR 3,811,282",300.0,Mohan Singh Guleria,21-Jun-2023 12:20 PM,Award15.pdf (5369.00 KB),Detail award uploaded,Superintending Engineer,Internal,Committee member detail uploaded,Mohan Singh Guleria,16-Jun-2023 02:38 PM,16-Jun-2023 03:45 PM,techsummary_111005.pdf (427.90 KB),1.0,352556.0,SACHIN GARG,13-Jun-2023 10:16 AM,Accepted-AOC,Awarded,21-Jun-2023,Superintending Engineer,Internal,Committee member detail uploaded,Mohan Singh Guleria,21-Jun-2023 12:17 PM,finsummary_111005.pdf (427.90 KB),HPSEBL||CE(OP) South||SE(OP) Solan,2023_HPSEB_73932_1,15-2023-24,15-2023-24,1.0,352556.0,SACHIN GARG,INR,"3,811,282"
,,,,,,.pdf,Food License with competent authorities (Health Department of HP),,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Financial Corigendum,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,352530.0,Srishti Enterprises,07-Jun-2023 03:15 PM,Rejected-Finance,Rejected,21-Jun-2023,,,,,,,,,,,,,,,
,,,,,,.pdf,BID Capacity/Turnover Certificate with CA Certified as per Terms and Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,"Work Done Certificate/completion certificate as per Terms and Conditions /SBD Volume-I, Section-III,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Affidavit for Blacklisting/Change of ownership/litigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,EPFO/ESI No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,"Joint Venture as per SBD, if applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.0,Finance,.xls,Price BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
