Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,Annual Maintenance on Rajera Dhullara road Km.14/0 to 15/600 for the year 2023-24 (SH P/L Bitumenous concrete),Annual Maintenance on Rajera Dhullara road Km.14/0 to 15/600 for the year 2023-24 (SH P/L Bitumenous concrete),Please refer Tender documents. ,NA ,"24,53,042",Civil Works,NA ,Tender,75.0,30.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,1.0,ICICI BANK,"49,100",No,fixed,,Nil,Nil,PWD,No.PWC-WA-II- contt/ 17212-311 dated 7.2.2023,2023_PWD_68806_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,500.0,Nil,Nil,No,14-Feb-2023 10:00 AM,25-Feb-2023 11:30 AM,14-Feb-2023 10:00 AM,24-Feb-2023 05:00 PM,NA ,NA ,14-Feb-2023 10:00 AM,24-Feb-2023 05:00 PM,02-Mar-2023 11:30 AM,1.0,328671.0,Vipan Rana,INR,"2,442,376",Finance,BOS,Jeet Singh Thakur,03-Mar-2023 05:31 PM,finance_103770.pdf,BOQ Comparative Chart,1.0,328696.0,Des Raj and Co.,24-Feb-2023 03:41 PM,Rejected-Finance,L-2,13-Jun-2023,Technical,BOS,Jeet Singh Thakur,27-Feb-2023 11:42 AM,technical_103770.pdf,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,27-Feb-2023 11:48 AM,02-Mar-2023 11:30 AM,techsummary_103770.pdf (518.84 KB),PWD,2023_PWD_68806_1,No.PWC-WA-II- contt/ 17212-311 dated 7.2.2023,Annual Maintenance on Rajera Dhullara road Km.14/0 to 15/600 for the year 2023-24 (SH P/L Bitumenous concrete),13-Jun-2023,"INR 2,453,042",30.0,Rajeev Kumar,13-Jun-2023 03:20 PM,772.pdf (676.00 KB),Annual Maintenance on Rajera Dhullara road Km.14/0 to 15/600 for the year 2023-24 (SH P/L Bitumenous concrete),EE,Internal,Sr. Asstt. Supdt. AE,Rajeev Kumar,13-Jun-2023 03:18 PM,finsummary_103770.pdf (230.10 KB)
,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,328671.0,Vipan Rana,24-Feb-2023 03:15 PM,Accepted-AOC,Work completed,13-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
