Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
"SE,4th Circle,HPPWD,Winterfield,Shimla-3",Internal,"EE Dhami Division HPPWD Dhami, Member, EE 4th Circle HPPWD Shimla, Member, AE 4th Circle HPPWD Shimla, Member, CHD 4th Circle HPPWD Shimla, Member, Sr DAO Dhami Division HPPWD Dhami, Member",Deepak Raj Chauhan,23-May-2023 04:47 PM,finsummary_107566.pdf (829.14 KB),08-Jun-2023,"INR 55,145,826",540.0,Deepak Raj Chauhan,11-Jul-2023 12:16 PM,AwardLetterGaluPalged.pdf (189.00 KB),L1 AOC,PWD,2023_PWD_71471_1,20032023.0,"C/O link road from Galu to Palgade Km 0/0 to 9/600 under NABARD(SH Formation cutting in KM 0/240 to 9/600, R/Walls,B/Walls,Hume pipe culvert,WBM G-I unlined drain,parapets,dumping site etc. in KM 0/0 to 9/600)","SE,4th Circle,HPPWD,Winterfield,Shimla-3",Internal,"EE Dhami Division HPPWD Dhami, Member, EE 4th Circle HPPWD Shimla, Member, AE 4th Circle HPPWD Shimla, Member, CHD 4th Circle HPPWD Shimla, Member, Sr DAO Dhami Division HPPWD Dhami, Membe",Parveen Kumar Verma,12-Apr-2023 03:14 PM,13-Apr-2023 03:00 PM,techsummary_107566.pdf (438.21 KB),Finance,Bid opening summary,Deepak Raj Chauhan,23-May-2023 04:41 PM,finance_107566.pdf,BOQ Comparative Chart,1.0,340167.0,M/s Construction Gallery,INR,"55,145,826",Technical,Bid Opening Summary,Parveen Kumar Verma,06-Apr-2023 03:51 PM,technical_107566.pdf,1.0,339602.0,Arya Construction Company,02-Apr-2023 08:15 PM,Rejected-Finance,L2,23-May-2023,23-Mar-2023 01:00 PM,04-Apr-2023 11:00 AM,23-Mar-2023 01:00 PM,03-Apr-2023 05:00 PM,NA ,NA ,23-Mar-2023 01:00 PM,03-Apr-2023 05:00 PM,13-Apr-2023 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Form (Online),"5,000",Nil,Nil,No,PWD,20032023.0,2023_PWD_71471_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"13,62,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,"SE,4th Circle,HPPWD,Winterfield,Shimla-3",Superintending Engineer 4thCircle HPPWD Shimla,"C/O link road from Galu to Palgade Km 0/0 to 9/600 under NABARD(SH Formation cutting in KM 0/240 to 9/600, R/Walls,B/Walls,Hume pipe culvert,WBM G-I unlined drain,parapets,dumping site etc. in KM 0/0 to 9/600)","C/O link road from Galu to Palgade Km 0/0 to 9/600 under NABARD(SH Formation cutting in KM 0/240 to 9/600, R/Walls,B/Walls,Hume pipe culvert,WBM G-I unlined drain,parapets,dumping site etc. in KM 0/0 to 9/600)",AS PER SBD ,NA ,"6,80,81,266",Civil Works - Roads,NA ,Tender,75.0,540.0,DHAMI,171103.0,NA ,NA ,NA ,"Office of SE,4th Circle,HPPWD,Winterfield, Shimla3",No ,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,339252.0,Laiq Ram Chauhan and Sons,02-Apr-2023 12:01 PM,Rejected-Finance,L4,23-May-2023,,,,,,,,,,,,.pdf,The Earnest Money (Online),,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,340167.0,M/s Construction Gallery,03-Apr-2023 03:11 PM,Accepted-AOC,L1,11-Jul-2023,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,340006.0,P K Construction Shimla Pvt Ltd,03-Apr-2023 12:05 PM,Rejected-Finance,L3,23-May-2023,,,,,,,,,,,,.pdf,"GST Registration, EPF certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done and work in hand as per Clause 4.2 (c) and 4.4A(b) of ITB Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant as per clause 4.2 (d) and 4.4 B (b) (i) of ITB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid (Part I) as proforma given in Section 6 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Gazetted and Non-Gazetted HPPWD Employees related to Him(as per clause 4.4 B(c)of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of True and correct in all respect as per clause 4.4 B(a)(ii)of ITB and Format in Sec. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
