S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.2,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
1.0,147116.0,SANJEEV DHADWAL,INR,"87,660,741",Finance,Summary,Manish Sehgal,16-Jun-2023 04:01 PM,finance_49756.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Manish Sehgal,13-Feb-2020 02:50 PM,technical_49756.pdf,1.0,147441.0,Om Parkash Sharma And Sons,30-Jan-2020 01:44 PM,Rejected-Finance,L2,16-Jun-2023,Sh.Manish Sehgal,Internal,,Manish Sehgal,16-Jun-2023 04:02 PM,finsummary_49756.pdf (135.52 KB),16-Jun-2023,"INR 88,043,331.14",540.0,Manish Sehgal,16-Jun-2023 04:03 PM,AOC.pdf (452.00 KB),aoc,PWD,2020_PWD_34240_1,Thural to Bachhawai road,Balance work of Thural to Bachhawai road Km 0/00 to 6/195 including Bridge over Negual Khad,Sh Manish Sehgal,Internal,Bhumi Dev Rana AE to EE Rajinder Singh Bagga AE Thural Rajesh Sood Sr DAO Harjeet Singh Supdt Pawan Kumar HDM Manjeet Kumar TA,Manish Sehgal,13-Feb-2020 02:57 PM,13-Feb-2020 03:10 PM,techsummary_49756.pdf (975.67 KB),1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,"5,000",EE Bhawarna,HP.PWD Division Bhawarna,No,Balance work of Thural to Bachhawai road Km 0/00 to 6/195 including Bridge over Negual Khad,"Construction of 125.00 mtrs. Span Bridge (3x40 mtr. PSC Box Girder), Removal of formation Deficiencies, passing places, C/o protection work, Cross Drainage, providing an laying GSB, P/L WBM-II, WBM-III, Premix carpet, CC pavement, side drain, Parapet",Please refer Tender Documents. ,NA ,"5,71,54,656",Civil Works - Roads,NA ,Tender,120.0,540.0,Thural,176107.0,NA ,NA ,NA ,Bhawarna,No ,No,PWD,Thural to Bachhawai road,2020_PWD_34240_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,21-Jan-2020 04:00 PM,30-Jan-2020 03:00 PM,21-Jan-2020 04:00 PM,30-Jan-2020 02:00 PM,NA ,NA ,21-Jan-2020 04:30 PM,30-Jan-2020 02:00 PM,13-Feb-2020 03:10 PM,E.E. HPPWD Division Bhawarna,HPPWD Division Bhawarna,1.0,DD - Demand Draft,"6,04,000",No,fixed,,EE Bhawarna,HP.PWD Division Bhawarna
,,,,,,,,,,,,,,,,2.0,147116.0,SANJEEV DHADWAL,28-Jan-2020 05:14 PM,Accepted-AOC,L1,16-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,
,,,,,,,,,,,,,,,,3.0,147397.0,YUDHVIR SINGH,30-Jan-2020 08:09 AM,Rejected-Technical,Not-Qualified,13-Feb-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance Sheet for the last five years duly signed by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in HP PWD department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
