S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name
1.0,304127.0,Sanjeev,INR,"1,455,450",Finance,Summary,Manish Sehgal,11-Oct-2022 12:24 PM,finance_98121.pdf,BOQ Comparative Chart,Technical,Summary,Manish Sehgal,30-Sep-2022 11:59 AM,technical_98121.pdf,1.0,302745.0,ayush,24-Sep-2022 01:25 PM,Rejected-Technical,Non-Responsive,30-Sep-2022,14-Jun-2023,"INR 1,472,800",30.0,Manish Sehgal,14-Jun-2023 12:19 PM,AOC.pdf (426.00 KB),AOC,Sh. Manish Sehgal,Internal,,Manish Sehgal,11-Oct-2022 12:27 PM,finsummary_98121.pdf (129.81 KB),Sh. Manish Sehgal,Internal,Anand Katoch AEtoEE Suresh Kumar HDM Manjeet Kumar Sr Asstt,Manish Sehgal,30-Sep-2022 12:08 PM,30-Sep-2022 12:30 PM,techsummary_98121.pdf (311.56 KB),PWD,2022_PWD_65185_1,NIT No.12629-88 DT.13-09-2022-Bhawarna,Construction of Link road Henja to Henja via Harizan Basti Km 0/0 to 2/0.,Construction of Link road Henja to Henja via Harizan Basti Km 0/0 to 2/0.,Providing and laying Bituminous Concrete in Km 0/0 to 1/0,Please refer Tender documents. ,NA ,"8,51,188",Civil Works - Roads,NA ,Tender,75.0,30.0,Bhawarna,176083.0,NA ,NA ,NA ,O/o EE Bhawarna Division HPPWD Bhawarna,No ,No,19-Sep-2022 03:30 PM,27-Sep-2022 11:30 AM,19-Sep-2022 03:35 PM,27-Sep-2022 11:00 AM,NA ,NA ,19-Sep-2022 04:00 PM,27-Sep-2022 11:00 AM,30-Sep-2022 12:30 PM,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,PWD,NIT No.12629-88 DT.13-09-2022-Bhawarna,2022_PWD_65185_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,O/o EE Bhawarna Division HPPWD Bhawarna,O/o EE Bhawarna Division HPPWD Bhawarna,"17,000",No,fixed,,Nil,Nil,1.0,ICICI BANK
,,,,,,,,,,,,,,,,2.0,303900.0,M/s Kamala Enterprises,26-Sep-2022 08:54 PM,Rejected-Finance,Bid Rank-L2,11-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,3.0,304127.0,Sanjeev,26-Sep-2022 04:59 PM,Accepted-AOC,Bid Rank-L1,14-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E-mail address and Mobile Number of the Contractor/Firm.,,,,,,,,,,,,,,,,,,,,,,,,
