Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
Technical,bidopeningsummary,Dev Raj,03-Apr-2023 05:55 PM,technical_107532.pdf,1.0,339771.0,ganesh,02-Apr-2023 11:48 AM,Rejected-Finance,L4,21-Apr-2023,Finance,financialbidopeningsummary,Dev Raj,21-Apr-2023 05:10 PM,finance_107532.pdf,BOQ Comparative Chart,1.0,339354.0,kulvinder govt.contractor,INR,"47,816,532",Er.Dev Raj EE,Internal,DAOHDMSUPDT,Dev Raj,21-Apr-2023 05:16 PM,finsummary_107532.pdf (547.61 KB),16-Jun-2023,"INR 47,816,532",548.0,Dev Raj,28-Jun-2023 05:31 PM,Award.pdf (1520.00 KB),Award,PWD,2023_PWD_71444_1,PW/BGN/2022-23-11917-47 dated 16.03.2023,Construction of Newly upgraded CHC Building at Thanakalan in District Una HP SH Addition of OPD Block,Er.Dev Raj EE,Internal,DAOHDMSUPDT,Dev Raj,17-Apr-2023 06:05 PM,21-Apr-2023 11:00 AM,techsummary_107532.pdf (619.59 KB),1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode) and Earnest Money (Online mode),"5,000",Nil,Nil,No,23-Mar-2023 11:00 AM,03-Apr-2023 11:00 AM,23-Mar-2023 11:30 AM,03-Apr-2023 09:00 AM,NA ,NA ,23-Mar-2023 11:30 AM,03-Apr-2023 09:00 AM,21-Apr-2023 11:00 AM,Construction of Newly upgraded CHC Building at Thanakalan in District Una HP SH Addition of OPD Block,Construction of Newly upgraded CHC Building at Thanakalan in District Una HP SH Addition of OPD Block,Please refer Tender documents. ,NA ,"5,88,36,633",Civil Works - Buildings,NA ,Tender,90.0,548.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,PWD,PW/BGN/2022-23-11917-47 dated 16.03.2023,2023_PWD_71444_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,1.0,ICICI BANK,"5,00,000",No,fixed,,Nil,Nil
,,,,,2.0,339354.0,kulvinder govt.contractor,02-Apr-2023 08:39 PM,Accepted-AOC,L1,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,
,,,,,3.0,340044.0,NARESH KUMAR TULI,02-Apr-2023 04:27 PM,Rejected-Finance,L2,21-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment and PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.0,339491.0,Sohan Singh Govt. Contractor,29-Mar-2023 11:31 PM,Rejected-Finance,L3,21-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.0,340018.0,SS CONSTRUCTION COMPANY,02-Apr-2023 01:51 PM,Rejected-Finance,L5,21-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format without Liquidated Damage or compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document duly countersigned by the EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
