Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Name,Address,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1.1,Corrigendum Title,Corrigendum Type,View
ee,Internal,dao supdt ae to ee ta,Baldev Singh,22-Jun-2023 04:54 PM,finsummary_104479.pdf (699.08 KB),PWD,2023_PWD_69211_12,PWI/CB/C/Tender/10417-47,Periodic Renewal of PMGSY Roads Purani Gangath to Kuttan Road AMP for year 2023-24,22-Jun-2023,"INR 977,184",60.0,Baldev Singh,22-Jun-2023 04:55 PM,12.pdf (699.00 KB),the work has been awarded to sh. rajat thakur,1.0,330905.0,rajat thakur govt contractor,INR,"977,184",Technical,ALL CONTRACTOR ACCEPTED,Arun Vashisht,16-Mar-2023 01:40 PM,technical_104479.pdf,EE,Internal,DAO SUPDT AE TO EE,Arun Vashisht,16-Mar-2023 02:20 PM,17-Mar-2023 10:30 AM,techsummary_104479.pdf (121.92 KB),1.0,329916.0,M/s R.K Mahajan Govt Contractor,13-Mar-2023 01:19 PM,Not Admitted-Finance,Price Bid not complied,22-Jun-2023,Finance,THE WORK HAS BEEN AWARDED TO SH. RAJAT THAKUR,Baldev Singh,22-Jun-2023 04:53 PM,finance_104479.pdf,BOQ Comparative Chart,EXECUTIVE ENGINEER,HPPWD DIVISON IDNORA,1.0,ICICI BANK,Periodic Renewal of PMGSY Roads Purani Gangath to Kuttan Road AMP for year 2023-24,P/L 30mm thick bituminous concrete in KM 0/0 to 1/0,Please refer Tender documents. ,NA ,"13,40,777",Civil Works,NA ,Tender,120.0,60.0,INDORA,176401.0,NA ,NA ,NA ,O/O EXECUTIVE ENGINEER,No ,No,"27,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form only on online mode through e-payment,"1,500",Nil,Nil,No,20-Feb-2023 09:00 AM,14-Mar-2023 11:00 AM,20-Feb-2023 09:00 AM,13-Mar-2023 05:00 PM,NA ,NA ,20-Feb-2023 09:00 AM,13-Mar-2023 05:00 PM,17-Mar-2023 10:30 AM,PWD,PWI/CB/C/Tender/10417-47,2023_PWD_69211_12,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,amendment of the date,Date,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,330905.0,rajat thakur govt contractor,03-Mar-2023 02:15 PM,Accepted-AOC,1st lowest,22-Jun-2023,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,328499.0,SATVIK MAHAJAN,24-Feb-2023 12:09 PM,Not Admitted-Finance,Price Bid not complied,22-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical staff and machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,326917.0,V S SAINI,22-Feb-2023 02:53 PM,Not Admitted-Finance,Price Bid not complied,22-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ownership of hot mix plant,paver finisher and vibrator Road roller documentary proof uploaded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,40 percent similar work done of the estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
